pmid,tumor_rho,normal_rho,m1_clinical_coef,m1_plus_tumor_coef,m1_plus_normal_coef,m1_plus_both_coef
29147616,-0.4036782361088548,-0.5951369315941613,-0.14971849830623857,-0.2412380263159827,-0.4026405628639615,-0.6544831196098606
32096345,-0.4259098331370172,-0.5666954076226934,-0.18577467418476717,-0.31329777758691296,-0.4804245180984093,-0.7566647765916461
34266411,-0.390761298293823,-0.6220514445644297,-0.13169139451659823,-0.21700412234528527,-0.37483690691783694,-0.5973145128141945
34404901,-0.1841840070605955,-0.5546571908854692,-0.3234313480658592,-0.3884024764192755,-0.7552337262517135,-0.8487702677114282
34426176,-0.4268249299689665,-0.5268130924354153,-0.18677834987684733,-0.305764504926615,-0.39679394070505924,-0.6028731298685316
34706720,-0.2871330942603684,-0.6506500316438234,-0.12031082070726674,-0.17315969616458687,-0.3953793814070076,-0.5274601280311646
34803395,0.2857377141661058,-0.506321212089451,-0.3444009816303086,-0.33966404529078825,-0.6379332250106282,-0.6859407600206487
34849009,-0.3122403796149041,-0.6590870487210069,-0.131908699342484,-0.19350280336850603,-0.4599509079503582,-0.6369299041299916
35646934,-0.3214058365822328,-0.3076406963305804,-0.24234585679124088,-0.3662124916785826,-0.32672653542189906,-0.4645884112657414
39033098,-0.3077846580016332,-0.5478863683094429,-0.26348464689738055,-0.3449480648909386,-0.601352838608204,-0.7292673773503147
39380003,-0.1256161143357771,-0.3513441611828162,-0.5912936459000593,-0.6561123176681718,-0.7895286304983954,-0.8500966486054179
39739621,-0.5161224740815045,-0.5129141633931057,-0.1545055593921113,-0.3183514939592083,-0.30149130168222077,-0.5771499451518125
42482080,-0.2444520038878899,-0.6659463445295642,-0.13622294632437548,-0.18162092481392197,-0.47455201243231643,-0.5691604092527811
42555166,-0.4705868118162012,-0.5147964545353938,-0.22274584468087935,-0.44176438398017426,-0.5066832479267154,-0.9578505333571136
