pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext,consensus_decision
42030617,,A computational framework identifies a matrisome-related gene signature for bladder cancer prognosis and prioritizes candidate compounds.,2026,extracted,high,abstract,9,SERPINE2|RBP7|SPINK4|CD3D|CLDN5|TSPAN8|FADS1|CLIC3|KRT4,"Subsequently, a nine-gene prognostic signature (SERPINE2, RBP7, SPINK4, CD3D, CLDN5, TSPAN8, FADS1, CLIC3, and KRT4) was developed using univariate Cox, LASSO, and multivariate Cox regression analyses.",N,include
42493447,,[Development of a 36-gene signature for predicting recurrence in non-muscle-invasive bladder cancer and validation in a Chinese cohort].,2026,extracted,medium,fulltext_figure_ocr,36,ZNF41|ADAMTSL4|PLA2G2A|CP|SLC29A2|BNC2|PEG10|MUC3A|ASB7|MYO5B|PRR26|HSD17B14|FOSB|ZNF556|SERPINE2|XG|SH3RF1|GSTA1|GABRA3|PANX2|SMAGP|CALHM6|EMX2OS|STX16|PTGS2|SRRD|DSC3|CNGA1|TNFRSF10D|DSC2|DDX3Y|ADGRF1|RAB38|PACRG|CCL28|CDKN2B,"Gene names were read from the forest plot in the published full-text figure. LASSO coefficients were not provided in the public text, so equal-weight scoring was used in this audit.",Y,include
42576531,,Construction and Validation of a Ubiquitination-Related Gene Signature Based on WGCNA and Single-cell RNA Sequencing in Bladder Cancer.,2026,extracted,high,abstract,6,CAPG|EMP3|GMFG|HLA-B|ID1|TNFRSF12A,"The immune infiltration, immunotherapy response, and drug sensitivity were evaluated.A six-gene signature comprising CAPG, EMP3, GMFG, HLA-B, ID1, and TNFRSF12A stratified patients into high-risk and low-risk groups with significantly different overall survival.",N,include
42500328,,Epigenomics-Guided Multi-Omics Integration Uncovers a Lipid-Metabolic Signature with Translational Utility in Bladder Cancer.,2026,extracted,high,fulltext_window,4,FGFR2|TP53|NR1H2|NR1H3,"ersonalization rather than actionable treatment recommendations. A B Fig. 3. Stage- and gene-subtype-specific impact and clinical utility of the 25-gene signature. (A) Stage-stratified Kaplan–Meier curves showing the prognostic impact of the 25-gene risk score in stage 2 (hazard ratio [HR] = 2.24), stage 3 (HR = 2.83), and stage 4 (HR = 1.72) bladder cancer (BLCA). (B) Genotype-stratified survival analyses within key gene-defined subtypes, including fibroblast growth factor receptor 2/3 (FGFR2/3",Y,include
42482080,,A bladder cancer-associated gene signature for exploratory qPCR-based survival stratification in NAC-Treated muscle-invasive bladder cancer.,2026,extracted,high,abstract,3,CD274|HAVCR2|TIGIT,"High-signature tumors exhibited an immune-dysregulated microenvironment characterized by increased immune checkpoint expression (CD274, HAVCR2, TIGIT) and reduced antigen-presentation machinery.",N,include
42436798,,Prognostic and immunological implications of a mitophagy-associated gene signature in bladder cancer.,2026,extracted,high,abstract,5,NTN4|AKR1B1|FBXW7|MYH10|IGF2BP3,"Drug sensitivity and molecular alteration profiles were interrogated to identify potential personalized therapeutic avenues.A five-core-gene signature (NTN4, AKR1B1, FBXW7, MYH10, and IGF2BP3) was established.",N,include
42421957,,Liquid-liquid phase separation-associated gene networks link EMT and ferroptosis to define a PDGFRB-centered prognostic signature in bladder cancer.,2026,extracted,high,abstract,5,PDGFRB|FLNA|JUN|SNAI2|ITGB1,"Tissue validation was conducted in clinical specimens and a mouse orthotopic model.We identified a 5-gene signature (PDGFRB, FLNA, JUN, SNAI2, and ITGB1) that effectively stratifies BLCA patients into distinct risk groups.",N,include
42215586,,Ethnicity-specific molecular subtypes and a machine-learning risk model in Asian patients with non-muscle-invasive bladder cancer.,2026,extracted,low,abstract,3,RABL6|MYBL2|RAD54L,"Non-muscle-invasive bladder cancer (NMIBC) has high rates of recurrence and progression, yet its molecular landscape across different ethnicities remains poorly defined. We assembled a meta-cohort of 202 Asian NMIBC transcriptomes and identified three novel molecular subtypes (AC0, AC1, AC2) using non-negative matrix factorization clustering. These subtypes, each associated with distinct biological pathways and clinical outcomes, were externally validated across 22 datasets. Subtype-specific bio",N,include
42244509,PMC13231244,A five-gene mitochondria-associated prognostic signature for bladder cancer.,2026,extracted,high,abstract_window,5,COX7A1|MTHFD1L|MTG1|SCO2|ACP6,"adder cancer-related differentially expressed genes (BLCA-related DEGs) with the mitochondrial-related gene database (MitoCarta 3.0 genes) to find the mitochondria-related differentially expressed genes (Mitochondria-related DEGs). Construction of a prognosis model using univariate (uni), lasso, and multivariate Cox regression analyses, was used for verificaiotn in 2 gene expression profile public databases (GEO cohorts). Functional enrichment (func enrich), tumor microenvironment (tumor microen",N,include
42059994,PMC13272733,Development and validation of an interpretable prognostic model for bladder cancer based on lactylation associated genes using SHAP analysis.,2026,extracted,high,abstract,4,ATAD3A|MKI67|VWF|CCL2,"A 4-gene risk model comprising ATAD3A, MKI67, VWF, and CCL2 was ultimately established.",Y,include
