pmid,covariate,n,spearman_rho,pvalue
26802582,tumor_epithelial_fraction,427,-0.3139797880279994,3.187334318052143e-11
26802582,normal_urothelial_fraction,427,-0.26805509015484047,1.842912551651317e-08
26802582,immune_score,427,0.3666512634871586,4.935126061295553e-15
26802582,stromal_score,427,0.2740489204570151,8.56621349397391e-09
28400426,tumor_epithelial_fraction,427,-0.14345950068420327,0.002966994372894385
28400426,normal_urothelial_fraction,427,-0.7322935622005358,6.404642502666881e-73
28400426,immune_score,427,0.49749808796088923,4.413248008288483e-28
28400426,stromal_score,427,0.6575700564656516,3.1804881048466984e-54
29147616,tumor_epithelial_fraction,427,-0.4036782361088548,3.633927656137954e-18
29147616,normal_urothelial_fraction,427,-0.5951369315941613,2.8746908991640385e-42
29147616,immune_score,427,0.9094303834343582,4.779245512717789e-164
29147616,stromal_score,427,0.5962554860340223,1.8499221310033148e-42
30642841,tumor_epithelial_fraction,427,0.13900454974368964,0.004002672183411597
30642841,normal_urothelial_fraction,427,0.3721339836167302,1.795440874686543e-15
30642841,immune_score,427,-0.20985496246977808,1.2282615806594223e-05
30642841,stromal_score,427,-0.25670184736425294,7.476155272222254e-08
30846479,tumor_epithelial_fraction,427,-0.5132893268913311,4.495807881031299e-30
30846479,normal_urothelial_fraction,427,-0.4675492822108073,1.4106637824499747e-24
30846479,immune_score,427,0.6428961388986593,3.663586963563789e-51
30846479,stromal_score,427,0.6995427444396731,5.200119690250202e-64
31894276,tumor_epithelial_fraction,427,-0.17632653589685807,0.00025058989108918596
31894276,normal_urothelial_fraction,427,-0.5353654021570823,4.870171531538124e-33
31894276,immune_score,427,0.5287716801806702,3.9456365430546986e-32
31894276,stromal_score,427,0.8353590209866523,1.6603854115971373e-112
32096345,tumor_epithelial_fraction,427,-0.42590983313701725,3.030637871000596e-20
32096345,normal_urothelial_fraction,427,-0.5666954076226934,1.2156597576091706e-37
32096345,immune_score,427,0.9174521620299397,3.188906615680359e-172
32096345,stromal_score,427,0.6452822958896323,1.1954330786151986e-51
32117435,tumor_epithelial_fraction,427,-0.42926595886025515,1.425845465103796e-20
32117435,normal_urothelial_fraction,427,-0.45471526878445484,3.5376571437996645e-23
32117435,immune_score,427,0.6195866789522181,1.2488264184300178e-46
32117435,stromal_score,427,0.697370680340662,1.836937728722574e-63
32467671,tumor_epithelial_fraction,427,0.16222646126490828,0.000766180454992126
32467671,normal_urothelial_fraction,427,0.0836764111557656,0.0841588887710955
32467671,immune_score,427,-0.13918380822702417,0.003955374304991424
32467671,stromal_score,427,-0.18886923502097308,8.610280694884459e-05
32695477,tumor_epithelial_fraction,427,-0.4343224969550719,4.505547678151767e-21
32695477,normal_urothelial_fraction,427,-0.5672308710544253,1.0042175736307844e-37
32695477,immune_score,427,0.5153356171963603,2.437769733338476e-30
32695477,stromal_score,427,0.8590735465343,1.0952970161361477e-125
32763782,tumor_epithelial_fraction,427,-0.5614807274780905,7.675426792254232e-37
32763782,normal_urothelial_fraction,427,-0.4407710241840194,1.007837508531298e-21
32763782,immune_score,427,0.6079430466667016,1.6638786477621145e-44
32763782,stromal_score,427,0.8431334136271589,1.387442540494702e-116
32929335,tumor_epithelial_fraction,427,-0.3343656238025672,1.3002647309671958e-12
32929335,normal_urothelial_fraction,427,0.14333295621746409,0.0029926807701541333
32929335,immune_score,427,0.27931739356007346,4.30134097227344e-09
32929335,stromal_score,427,0.3352676191976433,1.1223456769851483e-12
33208770,tumor_epithelial_fraction,427,-0.14959867986839376,0.0019371488769527054
33208770,normal_urothelial_fraction,427,-0.01419085988275293,0.769984816638078
33208770,immune_score,427,0.11380462952373348,0.01865219566596523
33208770,stromal_score,427,0.2262462472090086,2.325965236763523e-06
33292266,tumor_epithelial_fraction,427,-0.294435835173443,5.48902713219287e-10
33292266,normal_urothelial_fraction,427,-0.34117960405299885,4.2273799275033247e-13
33292266,immune_score,427,0.17838176600587127,0.00021136617287575326
33292266,stromal_score,427,0.5700475258475936,3.654324267443561e-38
33313125,tumor_epithelial_fraction,427,-0.33196019999266313,1.9205824029483226e-12
33313125,normal_urothelial_fraction,427,-0.3681198574933591,3.7713252876646536e-15
33313125,immune_score,427,0.5662945036543761,1.4023086808390942e-37
33313125,stromal_score,427,0.3681939962126058,3.720330604534976e-15
33391264,tumor_epithelial_fraction,427,0.1855915637844225,0.00011460851989502938
33391264,normal_urothelial_fraction,427,-0.04293078834582491,0.376195218302232
33391264,immune_score,427,0.08941653598625612,0.06489448908400346
33391264,stromal_score,427,0.1407091237481577,0.003572923208095709
33392066,tumor_epithelial_fraction,427,-0.2937756768895894,6.020779153691097e-10
33392066,normal_urothelial_fraction,427,-0.36670120308182785,4.890307022303538e-15
33392066,immune_score,427,0.6504695400840773,1.0117016727782886e-52
33392066,stromal_score,427,0.45367254854390626,4.569042553391573e-23
33456631,tumor_epithelial_fraction,427,-0.4345541611858989,4.271923139527239e-21
33456631,normal_urothelial_fraction,427,-0.34924931849408075,1.0777565435704094e-13
33456631,immune_score,427,0.47697938820297303,1.2103643720379987e-25
33456631,stromal_score,427,0.7443371736470608,1.551440746190283e-76
33459039,tumor_epithelial_fraction,427,-0.1038860711380278,0.03185567580240693
33459039,normal_urothelial_fraction,427,-0.6171877287934748,3.4795368231385626e-46
33459039,immune_score,427,0.593349433201014,5.793819954622923e-42
33459039,stromal_score,427,0.5573876844643778,3.187156683397914e-36
33535616,tumor_epithelial_fraction,427,0.11447496068798264,0.017964072291038326
33535616,normal_urothelial_fraction,427,-0.16444584467121406,0.0006463101079498844
33535616,immune_score,427,0.014597620964025304,0.7635847593582321
33535616,stromal_score,427,-0.13768546625239408,0.0043667519945467985
33545950,tumor_epithelial_fraction,427,0.006614684275408849,0.8915947881132605
33545950,normal_urothelial_fraction,427,-0.2688965106711974,1.6568627396731566e-08
33545950,immune_score,427,0.20978683499803785,1.2364587230373901e-05
33545950,stromal_score,427,0.27077201989322175,1.3052500796782386e-08
33837006,tumor_epithelial_fraction,427,-0.10340702095212612,0.032657694279834386
33837006,normal_urothelial_fraction,427,-0.4596486533726644,1.0418792001366175e-23
33837006,immune_score,427,0.5320172914305197,1.4170598108684234e-32
33837006,stromal_score,427,0.36310431918922764,9.396103683477875e-15
33925460,tumor_epithelial_fraction,427,-0.012459158197229954,0.7974018436886636
33925460,normal_urothelial_fraction,427,0.3704796574760344,2.440918755524881e-15
33925460,immune_score,427,-0.05354295221304847,0.2696108522458989
