pmid,model,n,events,coef,hr,pvalue,qvalue_global
26802582,m0_score,402,107,-0.16496399481359006,0.8479242332083874,0.4261584519321454,0.613177628679346
26802582,m1_clinical,402,107,-0.03758125314887906,0.9631161583208536,0.8523620255076735,0.9315695701623173
26802582,m2_purity,402,107,-0.13712805864485414,0.8718585699560197,0.5217380008730615,0.7014964717620995
26802582,m3_microenvironment,402,107,0.014921522322207335,1.0150334040255409,0.9462807012361223,0.9733988117985963
28400426,m0_score,402,107,0.3404133588956799,1.4055284581932475,0.024429494818462145,0.1007401848184006
28400426,m1_clinical,402,107,0.27107439097419156,1.3113726210429062,0.08316827334941054,0.2310229815261404
28400426,m2_purity,402,107,0.3663488866116216,1.4424584093021853,0.13066915638832574,0.3156893229226542
28400426,m3_microenvironment,402,107,0.6754096767930206,1.9648377595401494,0.014455429790922158,0.0731920495742894
29147616,m0_score,402,107,-0.11308668352062642,0.8930732420278316,0.3003970267299151,0.49346534165078454
29147616,m1_clinical,402,107,-0.1497184983062386,0.8609503012840843,0.203031715294204,0.40260261865765773
29147616,m2_purity,402,107,-0.6544831196098607,0.5197106214034266,0.00037673568962149235,0.005549938975103828
29147616,m3_microenvironment,402,107,-0.46791746481030416,0.6263052137440249,0.11206593408150571,0.2858738917631054
30642841,m0_score,402,107,-0.5764009122109225,0.561917120596975,0.004654185798357571,0.03200223153857265
30642841,m1_clinical,402,107,-0.5354120628836067,0.5854280072835267,0.010506811062307754,0.05839946478701581
30642841,m2_purity,402,107,-0.525415666072956,0.5913095259684531,0.019360156291626532,0.0900472385657048
30642841,m3_microenvironment,402,107,-0.4443978425986539,0.641210269315787,0.04064339601723302,0.14075634984323124
30846479,m0_score,402,107,0.5253600883055287,1.6910676724500058,0.010194025528896106,0.05783844271714103
30846479,m1_clinical,402,107,0.43937662989903914,1.5517396088765614,0.0388640058371308,0.1357694527061338
30846479,m2_purity,402,107,0.5713835840187097,1.7707152907487487,0.05938632377958481,0.18631003538693275
30846479,m3_microenvironment,402,107,1.01181096224907,2.750577699740079,0.0009692625338652459,0.010044782086251517
31894276,m0_score,402,107,0.14720911473011145,1.1585962172347863,0.26000745932988123,0.4551552898553719
31894276,m1_clinical,402,107,-0.03957498562593118,0.9611978752638773,0.775978934247291,0.8904979210422149
31894276,m2_purity,402,107,-0.18380157180750453,0.8321008997237959,0.2803331922300803,0.4751410037797971
31894276,m3_microenvironment,402,107,0.024315809736165553,1.0246138498302508,0.9453864598646624,0.9733988117985963
32096345,m0_score,402,107,-0.19531519822257426,0.822575342904311,0.17905145181720614,0.376881184255396
32096345,m1_clinical,402,107,-0.18577467418476726,0.8304606981353819,0.2151875819929871,0.412171086791175
32096345,m2_purity,402,107,-0.756664776591646,0.4692288030127975,0.0007932277991852287,0.008546757608560862
32096345,m3_microenvironment,402,107,-0.5068134433834084,0.6024121439721036,0.2590313093503739,0.4544408935971472
32117435,m0_score,402,107,0.1419669567992912,1.1525385643446904,0.563230208279614,0.7286906182135403
32117435,m1_clinical,402,107,0.03764414853135849,1.0383616646033607,0.8763545323918509,0.9397903832620385
32117435,m2_purity,402,107,-0.27287047057074604,0.7611913779283599,0.4052257449556178,0.6036882606415163
32117435,m3_microenvironment,402,107,0.05099141819724156,1.052313862494446,0.9021711895972325,0.9574327827948695
32467671,m0_score,402,107,-0.02546277892914809,0.9748586635738484,0.864399208628115,0.937018112334
32467671,m1_clinical,402,107,-0.17930299536888913,0.8358526015575913,0.2145727005992214,0.412171086791175
32467671,m2_purity,402,107,-0.15883440078793165,0.8531376261906214,0.2969165715345944,0.4907711926191643
32467671,m3_microenvironment,402,107,-0.19771204782998303,0.8206061144316021,0.20286076547381743,0.40260261865765773
32695477,m0_score,402,107,0.315427569052831,1.3708453167027486,0.02134254663847196,0.09381339181745917
32695477,m1_clinical,402,107,0.20210150685916167,1.2239722433840123,0.14928473396431785,0.33928348628254057
32695477,m2_purity,402,107,0.18182809769682126,1.1994079951605396,0.3463644098144236,0.545880224595218
32695477,m3_microenvironment,402,107,0.6060268052303766,1.8331335139336344,0.029363869088162835,0.11300705004772896
32763782,m0_score,402,107,0.4518152438875322,1.5711616400436637,0.026210040784361628,0.10643671384512336
32763782,m1_clinical,402,107,0.24127714742359774,1.272873760110766,0.24002415855708298,0.4365349039660387
32763782,m2_purity,402,107,0.17881949070024836,1.1958048707850282,0.5438202389893061,0.7155529460385607
32763782,m3_microenvironment,402,107,1.072652230552421,2.9231220214961824,0.013377167042548892,0.0713448908935941
32929335,m0_score,402,107,-0.16071219767686357,0.8515371102026025,0.4821640644470756,0.6616316493270334
32929335,m1_clinical,402,107,-0.32639217436553447,0.7215221694401233,0.1389663646850067,0.32427939416851137
32929335,m2_purity,402,107,-0.40627600609289094,0.6661262871361292,0.08162800479713107,0.2283300833486184
32929335,m3_microenvironment,402,107,-0.05720991684271755,0.944395803972183,0.8325568676333819,0.9251908389167466
33208770,m0_score,402,107,-0.04647862868999241,0.9545849610831086,0.794107237988435,0.9023945886232215
33208770,m1_clinical,402,107,0.008559765233718129,1.0085965047766163,0.9621235881816917,0.9792606495487957
33208770,m2_purity,402,107,0.014385615315324948,1.0144895862429992,0.9372280142294637,0.9696218348941306
33208770,m3_microenvironment,402,107,0.12274340302973853,1.130594276658023,0.5107044389072611,0.691308885153653
33292266,m0_score,402,107,0.6240953503436737,1.8665566136162617,0.002523148822909966,0.020809474828123432
33292266,m1_clinical,402,107,0.4574463689536452,1.5800340049912611,0.0364824943439061,0.1302946226568075
33292266,m2_purity,402,107,0.4234939857539312,1.527288568446143,0.06525966594636085,0.19926615556140714
33292266,m3_microenvironment,402,107,0.4852008338629164,1.6245012309424334,0.05456146997152041,0.17473270974510094
33313125,m0_score,402,107,-0.16280618895707083,0.8497558645263893,0.41202802721126,0.6059235694283235
33313125,m1_clinical,402,107,0.0218080464164028,1.0220475799443827,0.915545098547594,0.9574327827948695
33313125,m2_purity,402,107,-0.16512896292237766,0.8477843642885126,0.5107010162669353,0.691308885153653
33313125,m3_microenvironment,402,107,0.22558231192478165,1.2530521710076843,0.411560496310448,0.6059235694283235
33391264,m0_score,402,107,-0.5444605603767464,0.580154657353731,0.0049092515972737364,0.033283061676432114
33391264,m1_clinical,402,107,-0.4437973903834749,0.6415954010574254,0.028878475872693262,0.1126964912105103
33391264,m2_purity,402,107,-0.43196031486597924,0.6492351411574986,0.03670811388777847,0.13051773826765678
33391264,m3_microenvironment,402,107,-0.2968578194478206,0.7431496662806993,0.19540927537415043,0.39278246306361897
33392066,m0_score,402,107,-0.3449629962968253,0.7082465607284218,0.06801896890730777,0.20516107851622206
33392066,m1_clinical,402,107,-0.23589125530634586,0.7898665630601523,0.22709417648647423,0.4215205131999522
