group_family,group,pathway,group_unique_genes,pathway_genes,overlap,odds_ratio,pvalue,qvalue
class,composition_adjustment_persistent,HALLMARK_HEDGEHOG_SIGNALING,48,35,2,21.454545454545453,0.004712458873855336,0.018288828486629043
class,composition_adjustment_persistent,HALLMARK_MTORC1_SIGNALING,48,186,3,5.877595628415301,0.01718259701346215,0.045540866881208626
class,composition_adjustment_persistent,HALLMARK_INTERFERON_GAMMA_RESPONSE,48,188,3,5.8133333333333335,0.017674101218087847,0.04609405597677311
class,composition_adjustment_persistent,HALLMARK_MITOTIC_SPINDLE,48,189,3,5.7817204301075265,0.017922791617020886,0.04637166719959372
class,composition_adjustment_persistent,HALLMARK_COMPLEMENT,48,191,3,5.719503546099291,0.01842605528625659,0.047298378136375184
class,composition_adjustment_persistent,HALLMARK_TNFA_SIGNALING_VIA_NFKB,48,192,3,5.688888888888889,0.018680630880115637,0.047577231772794513
class,composition_adjustment_persistent,HALLMARK_IL6_JAK_STAT3_SIGNALING,48,86,2,8.402173913043478,0.026335044503204234,0.06359425561514503
class,composition_adjustment_persistent,HALLMARK_INTERFERON_ALPHA_RESPONSE,48,89,2,8.110944527736132,0.028059874715862878,0.06677021282752772
class,composition_adjustment_persistent,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,48,95,2,7.584852734922861,0.03164183499457969,0.07368027291594985
class,composition_adjustment_persistent,HALLMARK_COAGULATION,48,133,2,5.372054430799867,0.058017079696581215,0.111537994163183
class,composition_adjustment_persistent,HALLMARK_UV_RESPONSE_UP,48,144,2,4.95254133496632,0.06669735870009715,0.12079632742350926
class,composition_adjustment_persistent,HALLMARK_ESTROGEN_RESPONSE_EARLY,48,182,2,3.8978260869565218,0.09958507747869458,0.1701454306330669
class,composition_adjustment_persistent,HALLMARK_ALLOGRAFT_REJECTION,48,189,2,3.7502906300860266,0.10606474604166038,0.17033057738709995
class,composition_adjustment_persistent,HALLMARK_ANGIOGENESIS,48,36,1,9.897872340425533,0.10044921617788106,0.17033057738709995
class,composition_adjustment_persistent,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,48,189,2,3.7502906300860266,0.10606474604166038,0.17033057738709995
class,composition_adjustment_persistent,HALLMARK_ESTROGEN_RESPONSE_LATE,48,185,2,3.8332145402708484,0.10234784735829382,0.17033057738709995
class,composition_adjustment_persistent,HALLMARK_HYPOXIA,48,186,2,3.8121455576559544,0.10327355660117235,0.17033057738709995
