class,feature,n,median,q1,q3,mannwhitney_pvalue
composition_adjustment_persistent,raw_gene_count,9,5.0,4.0,7.0,
microenvironment_associated_attenuation,raw_gene_count,14,5.5,4.25,6.0,
microenvironment_correlated,raw_gene_count,124,6.0,4.0,9.0,
unclassified,raw_gene_count,53,4.0,3.0,6.0,
unclassified_vs_others,raw_gene_count,53,4.0,3.0,6.0,0.0012604662242440548
composition_adjustment_persistent,tcga_mapped_count,9,5.0,4.0,7.0,
microenvironment_associated_attenuation,tcga_mapped_count,14,5.5,4.25,6.0,
microenvironment_correlated,tcga_mapped_count,124,5.5,4.0,8.25,
unclassified,tcga_mapped_count,53,4.0,3.0,6.0,
unclassified_vs_others,tcga_mapped_count,53,4.0,3.0,6.0,0.0016778477113090016
composition_adjustment_persistent,year,9,2025.0,2022.0,2026.0,
microenvironment_associated_attenuation,year,14,2023.5,2021.0,2024.75,
microenvironment_correlated,year,124,2023.0,2022.0,2025.0,
unclassified,year,53,2024.0,2022.0,2025.0,
unclassified_vs_others,year,53,2024.0,2022.0,2025.0,0.4095476532457356
