group_family,group,pathway,group_unique_genes,pathway_genes,overlap,odds_ratio,pvalue,qvalue
class,unclassified,HALLMARK_GLYCOLYSIS,232,188,21,9.515168714703295,2.6724287176913484e-13,6.222941156909854e-12
class,unclassified,HALLMARK_HYPOXIA,232,186,17,7.469051878354204,1.2711348543191424e-09,1.8016954891653932e-08
class,unclassified,HALLMARK_APOPTOSIS,232,157,15,7.784286363341338,6.688948602640655e-09,8.38691247869559e-08
class,unclassified,HALLMARK_MTORC1_SIGNALING,232,186,16,6.955555555555556,9.48833458844044e-09,1.1456285466042903e-07
class,unclassified,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,232,189,15,6.33998093119339,8.16352437175431e-08,8.87102981730635e-07
class,unclassified,HALLMARK_P53_PATHWAY,232,181,13,5.641036094803218,1.8869037502809097e-06,1.4724352628810615e-05
class,unclassified,HALLMARK_ANDROGEN_RESPONSE,232,91,8,6.906196213425129,4.468721407309788e-05,0.0002856476821143119
class,unclassified,HALLMARK_G2M_CHECKPOINT,232,178,11,4.758609477876826,4.784544974108534e-05,0.00029995416568449657
class,unclassified,HALLMARK_E2F_TARGETS,232,181,11,4.673755656108598,5.570428706288458e-05,0.0003426339166509504
class,unclassified,HALLMARK_TNFA_SIGNALING_VIA_NFKB,232,192,10,3.947876447876448,0.00042203338751096173,0.002372118695320233
class,unclassified,HALLMARK_HEME_METABOLISM,232,186,9,3.638215398647108,0.0013664349444599026,0.006455910027448235
class,unclassified,HALLMARK_IL6_JAK_STAT3_SIGNALING,232,86,6,5.327323008849557,0.0013912405246196123,0.006479205871799908
class,unclassified,HALLMARK_INTERFERON_GAMMA_RESPONSE,232,188,9,3.597114011574016,0.0014715553532714534,0.0065716033584451205
class,unclassified,HALLMARK_BILE_ACID_METABOLISM,232,110,6,4.091814159292035,0.004790468617287945,0.018372856108657295
class,unclassified,HALLMARK_ALLOGRAFT_REJECTION,232,189,8,3.1475927387529596,0.005612739100442584,0.021031643066026236
