covariate_1,covariate_2,pearson_r,pearson_p,spearman_rho,spearman_p
age,sex_female,0.11902327941873762,0.016964750841941174,0.1193414606289441,0.016670334735878062
age,stage_num,0.13745172244197393,0.005772526667422664,0.1324068931767846,0.007856007880813226
age,tumor_epithelial_fraction,-0.059255488759155685,0.23585492282181345,-0.06696880570671879,0.18023103573829247
age,normal_urothelial_fraction,0.013140494820216007,0.7928149368581067,0.018314183808503078,0.7143012566913317
age,immune_score,0.05982264320838587,0.2313933292383668,0.036259962399881704,0.4684614895091642
age,stromal_score,0.16859012762988784,0.0006887449103584311,0.15651548268965415,0.00164518113618823
sex_female,stage_num,0.010521621556981605,0.8334282486445319,0.008661655409662385,0.8625507226032478
sex_female,tumor_epithelial_fraction,-0.029615569561004522,0.5538029136364486,-0.024226823103512634,0.6281695606489848
sex_female,normal_urothelial_fraction,-0.11990604122996007,0.016158912892631917,-0.11359363844719277,0.022736667416319963
sex_female,immune_score,0.09070318355620935,0.06926666157171572,0.09530190052164911,0.05623699283623436
sex_female,stromal_score,0.10815012652569705,0.030157645449925406,0.09865862902394301,0.04806823471927028
stage_num,tumor_epithelial_fraction,-0.14739742105931092,0.00305347320459178,-0.1532163359321383,0.002065694983145777
stage_num,normal_urothelial_fraction,-0.0853345679183131,0.08749855497199102,-0.09412571254960445,0.05935885219552666
stage_num,immune_score,0.06431123804218877,0.19818022227248802,0.06167058192311854,0.2172715961683023
stage_num,stromal_score,0.3322222519838576,8.177563987616265e-12,0.34428048159520797,1.2520816040243304e-12
tumor_epithelial_fraction,normal_urothelial_fraction,0.02168199409179809,0.6647097473956185,-0.013593197481094492,0.7858475935111312
tumor_epithelial_fraction,immune_score,-0.45855285821996794,2.697301753485709e-22,-0.4568524801104161,4.013602631014936e-22
tumor_epithelial_fraction,stromal_score,-0.4648013874216723,6.141571978602075e-23,-0.4670892857852036,3.5452676094207694e-23
normal_urothelial_fraction,immune_score,-0.6398763263122647,1.1105846150911631e-47,-0.6039897293911992,2.508154983879529e-41
normal_urothelial_fraction,stromal_score,-0.48124039701872434,1.0792006592514527e-24,-0.4612418991408927,1.4321406990548544e-22
immune_score,stromal_score,0.5688708991406852,7.626135510655239e-36,0.5693958319267939,6.384775525659819e-36
