pmid,violated_covariates,min_ph_pvalue
30846479,tumor_epithelial_fraction,0.034073454230486015
34329197,age,0.02602338953049529
34644219,age,0.046590495456217615
35169299,age,0.049054803568616995
37968767,age,0.03881125392851656
38356551,tumor_epithelial_fraction,0.03152756108873118
39033778,age,0.04538350477904157
39368544,age,0.0357816740173862
40376515,score,0.04468282242389271
40442298,age;tumor_epithelial_fraction,0.045768001560485855
41584451,age,0.04282466846325542
41727459,age,0.04676670345307819
41862905,age,0.032313119411314595
42220482,age;tumor_epithelial_fraction,0.031072103675340065
