pmid,n_bootstrap,converged,median_hr,significant_rate
26802582,1000,1000,0.9812987795821808,0.032
28400426,1000,1000,1.790843820665116,0.632
29147616,1000,1000,0.6644041815259458,0.33
30642841,1000,1000,0.6417183782033744,0.538
30846479,1000,1000,2.5604915636657877,0.873
31894276,1000,1000,0.9772293089189816,0.022
32096345,1000,1000,0.6230431199963655,0.224
32117435,1000,1000,1.0347797984565723,0.056
32467671,1000,1000,0.8353695735598031,0.229
32695477,1000,1000,1.6390006817366185,0.5
32763782,1000,1000,2.251291149416393,0.551
32929335,1000,1000,0.8828816014850787,0.091
33208770,1000,1000,1.1038790206645337,0.089
33292266,1000,1000,1.6248731806740286,0.498
33313125,1000,1000,1.1558472273776723,0.085
33391264,1000,1000,0.7229085885494317,0.263
33392066,1000,1000,0.8669735773871663,0.08
33456631,1000,1000,1.2884965422894332,0.148
33459039,1000,1000,1.6859816676136692,0.413
33535616,1000,1000,0.8872852953174544,0.155
33545950,1000,1000,1.3446582879195312,0.275
33837006,1000,1000,0.7348746797092854,0.265
33925460,1000,1000,0.4271308478748041,0.796
33937319,1000,1000,0.9214711908730633,0.023
33962639,1000,1000,0.8628684568235909,0.083
33985530,1000,1000,0.7661009040438422,0.291
34095228,1000,1000,0.9724350735896572,0.047
34112144,1000,1000,1.0268369276747582,0.014
34266411,1000,1000,0.7053724823532583,0.129
34329197,1000,1000,2.682649284364487,0.737
34339395,1000,1000,1.3799092413440144,0.308
34368227,1000,1000,1.0176761481315695,0.042
34404901,1000,1000,0.5885719834300616,0.421
34418989,1000,1000,1.722267963302392,0.724
34422642,1000,1000,0.7756288147902549,0.093
34426176,1000,1000,0.6698769235530555,0.126
34490263,1000,1000,2.5254844654630784,0.924
34512654,1000,1000,1.8139081685717473,0.474
34512722,1000,1000,1.111092416900728,0.05
34521394,1000,1000,0.9110938000561741,0.106
34530089,1000,1000,0.9396155830942823,0.023
34644219,1000,1000,0.5526687085593012,0.92
34706720,1000,1000,0.7916433835259996,0.084
34803395,1000,1000,0.6078273753447123,0.596
34849009,1000,1000,0.6995081773478244,0.178
34901008,1000,1000,1.3607379959882258,0.274
35023971,1000,1000,0.7153144124891767,0.347
35027921,1000,1000,1.3993931717012218,0.262
35125116,1000,1000,2.9952284188537557,0.937
35127296,1000,1000,1.9096538399637328,0.556
35169299,1000,1000,0.459127281547407,0.823
35205125,1000,1000,1.6411102968979445,0.604
35265613,1000,1000,0.7302555015198731,0.151
