pmid,raw_gene_count,tcga_mapped_count,gse_mapped_count
42030617,9,9,9
42493447,36,32,31
42576531,6,6,6
42500328,4,4,3
42482080,3,3,3
42436798,5,5,5
42421957,5,5,5
42215586,3,2,3
42244509,5,5,5
42059994,4,4,4
41992284,6,6,6
41981124,15,14,14
42052292,6,5,3
41870815,3,3,3
41971137,5,5,4
41809788,3,3,2
41836241,16,16,15
41533176,6,6,6
41584451,4,4,4
42159275,10,10,10
41505248,7,7,7
41337795,8,8,8
41357226,5,5,5
41252049,6,6,6
41216727,3,3,2
41198839,9,9,9
40779729,12,12,12
40735323,9,8,9
40500142,12,12,11
40442298,8,8,8
40438104,3,1,3
40348840,4,4,4
40319103,12,11,10
40376515,9,9,8
40427675,6,6,6
40330458,8,8,8
39991573,5,5,5
39867879,14,14,14
39708127,5,5,5
39749345,17,17,16
39503984,5,5,5
39507864,13,13,12
39432593,6,6,6
39343809,6,6,5
39160525,5,5,4
39115575,3,3,3
39033098,10,10,10
39033778,9,9,9
38735911,3,3,3
38714517,3,3,3
38507521,3,3,3
38332160,7,7,7
38305808,4,4,4
37594617,4,4,4
38273010,6,6,6
37849225,11,11,10
38049825,8,8,8
37968767,7,7,7
37965307,9,9,8
37919060,3,3,3
37807731,5,5,5
37845668,12,12,12
37876438,3,3,3
37747262,5,5,5
37745978,7,7,7
37244876,7,7,7
37588995,3,2,2
37578544,4,4,4
37301098,3,3,3
37423913,3,3,3
37379131,9,8,9
37152941,4,4,4
36973645,5,5,5
38073378,5,5,5
36455365,4,4,4
36620542,14,14,14
36527532,12,9,9
36568387,3,3,3
35918812,3,2,2
36211821,4,3,4
36211359,4,4,4
36158580,5,5,5
35949618,6,6,6
35730624,3,3,3
34426176,17,16,15
35626146,8,8,7
35646934,4,3,3
35169299,7,7,7
35480865,6,5,6
35300137,4,4,3
35309900,7,7,7
35299749,5,5,5
35281080,16,16,16
35205125,4,4,4
35125116,11,11,11
34644219,3,3,3
35127296,5,5,5
34530089,6,5,6
35023971,4,4,4
35027921,4,4,4
33459039,5,5,5
34849009,7,7,7
34803395,5,5,5
34706720,3,3,3
34512722,8,8,8
34418989,12,12,11
34490263,6,6,6
34404901,5,5,5
34422642,9,9,8
34339395,5,5,5
34368227,6,6,6
34266411,5,5,5
34112144,7,7,7
34095228,4,4,4
33962639,7,7,7
33925460,11,11,10
33937319,15,15,15
33535616,3,3,3
33545950,4,4,4
33456631,4,4,4
33391264,3,3,3
33292266,5,5,4
33313125,6,6,6
32763782,10,10,10
32467671,3,2,3
32096345,9,9,9
32117435,8,8,8
31894276,6,6,6
28400426,6,6,6
29147616,3,3,3
26802582,4,4,4
30642841,3,3,3
30846479,6,6,6
32695477,6,5,5
32929335,4,4,4
33208770,3,3,3
33392066,5,5,5
33837006,4,3,4
33985530,3,3,3
34329197,11,11,10
34512654,10,10,10
34521394,3,3,2
34901008,4,4,4
35265613,13,12,13
35593896,7,7,7
35669725,10,10,10
35784457,3,1,1
35804889,4,4,4
35846128,5,5,5
35958598,11,11,10
36300085,10,10,10
36358715,9,8,9
36428492,11,10,10
36468020,4,4,4
36505302,8,8,6
37138324,4,4,4
37455996,8,7,8
37701108,4,4,4
37740761,3,3,3
37780567,4,3,3
38017469,3,3,3
38172584,3,3,3
38183115,5,5,5
38217031,3,3,3
38282152,3,3,3
38333832,4,4,4
38356551,4,4,4
38387404,5,5,5
38570787,3,2,2
39269596,3,3,3
39368544,5,5,4
39380003,11,10,9
39695796,6,6,6
39739621,7,7,7
39769061,4,4,4
40018511,4,4,4
40097551,3,3,3
40405063,12,0,0
40589607,8,8,8
40626022,4,4,3
40703521,3,3,2
40867253,3,3,3
40918470,4,4,4
40994220,11,10,11
41137061,16,8,9
41153362,13,13,12
41388608,3,2,3
41507856,9,9,8
41582171,3,3,3
41668898,3,3,3
41685329,4,4,4
41715136,4,4,4
41727459,6,6,6
41836296,4,3,4
41862905,6,6,6
42164400,7,7,7
42220482,3,3,3
42251607,6,6,6
42279297,5,5,5
42319469,6,4,6
42371282,3,3,3
42436233,4,4,4
42555166,10,10,10
