"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Mast_cell","Fibroblast"
"TCGA-2F-A9KO-01A-11R-A38B-07",0.548079275550487,0.116946159431589,1.29729918401387e-05,3.63552420021844e-06,4.66545941153058e-06,0.188113329734224,3.08397904210586e-06,0.0698790602370563,0.000288799641568688,0.0766690174505809
"TCGA-2F-A9KP-01A-11R-A38B-07",0.691233690927476,4.09352455890884e-06,2.10026678887869e-06,1.01917325602832e-06,2.42082803584823e-06,0.146610286543469,0.125598287263721,0.0124589162070927,0.000189177359339495,0.0239000079062605
"TCGA-2F-A9KQ-01A-11R-A38B-07",0.788357545365766,0.000515743360968043,1.58206453270969e-06,7.15898437068573e-07,9.01090191568836e-07,0.154762842342948,2.03353897614088e-06,0.0290356600704524,0.000234800774103147,0.0270881754936257
"TCGA-2F-A9KR-01A-11R-A38B-07",0.592816678751139,0.00742134402551184,0.142539230349468,0.0594166656692617,1.851029913795e-06,0.135498151024059,2.32286180687777e-06,0.0473845956701483,0.000118556378684754,0.0148006042400069
"TCGA-2F-A9KT-01A-11R-A38B-07",0.698802286119555,0.0140740491249308,0.0253457857516028,0.00663986626502459,1.64071115528699e-06,0.183651965149151,0.000118562622876159,0.0403046902931395,6.23623325930565e-05,0.0309987916299727
"TCGA-2F-A9KW-01A-11R-A38B-07",0.421465923738084,0.0840470872399665,1.06504060444525e-06,9.1603673632949e-07,1.81553521109737e-06,0.204784072899231,0.066750953199612,0.142548897473439,0.000112561745949147,0.0802867070911672
"TCGA-4Z-AA7M-01A-11R-A39I-07",0.606493459043802,0.00904774088687124,3.45560465877652e-06,0.0548637896184445,3.11476371805168e-06,0.190973873299274,0.0681767486138206,0.0373255187072517,5.9631794135512e-05,0.033052667668023
"TCGA-4Z-AA7N-01A-11R-A39I-07",0.332107058703202,0.130300184426383,4.16125507215621e-06,1.01025850451955e-06,0.0228923841309636,0.135129732024797,0.0132459195524022,0.125430217721942,0.00154210148569423,0.23934723044104
"TCGA-4Z-AA7O-01A-31R-A39I-07",0.725679119291329,0.019967991561583,7.67934213725933e-06,0.000921500376141794,8.19735112435524e-06,0.174333262085607,2.65780277348641e-06,0.041744983197434,0.00038225757393496,0.0369523514179349
"TCGA-4Z-AA7Q-01A-11R-A39I-07",0.000172058495863807,0.082722646858182,0.0723801738934906,0.774412800189398,0.000177887697178776,0.018225591122129,1.55323380106474e-06,0.0365872048208672,0.00017053606394342,0.0151495476251465
