"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Fibroblast"
"TCGA-2F-A9KO-01A-11R-A38B-07",0.0766103396268324,0.138317306448078,0.173860167746693,0,0,0.2149622190348,0.0534912191555353,0.13750073415842,0.205258013829641
"TCGA-2F-A9KP-01A-11R-A38B-07",0,0,0.627007619950955,0,0,0.134490071867209,0.11392909615791,0.0209291766944044,0.103644035329521
"TCGA-2F-A9KQ-01A-11R-A38B-07",0.380448991754627,0,0.373261285786083,0,0,0.0846488227143691,0,0.0487606479798651,0.112880251765056
"TCGA-2F-A9KR-01A-11R-A38B-07",0.0194059752473386,0.0104857677273259,0.618751582236115,0,0,0.157751269953451,0,0.122944856349618,0.0706605484861512
"TCGA-2F-A9KT-01A-11R-A38B-07",0.0439172783391475,0,0.519484396020351,0,0,0.072984976340216,0.0850259512093886,0.0438484607581764,0.234738937332721
"TCGA-2F-A9KW-01A-11R-A38B-07",0.165066110073534,0.0384016035395627,0,0,0.000478653143216975,0.153014738410596,0.165288416729987,0.146089566267528,0.331660911835576
"TCGA-4Z-AA7M-01A-11R-A39I-07",0.132966569403117,0.0129771779111121,0.362430234276614,0,0,0.0852345826036217,0.156242081296932,0.0812942374953512,0.168855117013253
"TCGA-4Z-AA7N-01A-11R-A39I-07",0.0493683170896864,0.300282942421065,0,0,0,0.29819370916991,0,0.000355188641992184,0.351799842677346
"TCGA-4Z-AA7O-01A-31R-A39I-07",0.280524764632709,0.00744587421781623,0.186090992743516,0,0,0.177825477260461,0.130787672527036,0.0657069339507766,0.151618284667685
"TCGA-4Z-AA7Q-01A-11R-A39I-07",0,0.293100563622191,0.350672501120454,0.0590001906563104,0,0.0944756758429994,0.0415888453904074,0.0388202326673642,0.122341990700273
"TCGA-4Z-AA7R-01A-11R-A39I-07",0.179995287739397,0,0.000806435471027339,0.000799324830609032,0.0093648255455228,0.236041754100735,0.339327044769956,0.028766110333793,0.20489921720896
"TCGA-4Z-AA7S-01A-11R-A39I-07",0.200801145122766,0,0.561702153500177,0,0,0.122161609523003,0,0.0428868281248332,0.0724482637292213
"TCGA-4Z-AA7W-01A-11R-A39I-07",0.000280977065715306,0.371996873443765,0.17810532959997,0.225295633965326,0,0.0961279192520092,0.0766483374750217,0.0150626119967377,0.0364823172014543
"TCGA-4Z-AA7Y-01A-11R-A39I-07",0.256398445215287,0,0.481469466382546,0,0,0.136116219416009,0,0,0.126015868986157
"TCGA-4Z-AA80-01A-11R-A39I-07",0.485912991073178,0,0.057366997150595,0,0,0.259685530360696,0.079362228394362,0.0199074938072367,0.0977647592139317
