cell_type,primary_mean,normal_looking_mucosa_mean,mean_difference,mannwhitney_pvalue
Normal_urothelial,7.856796285912671,8.095566399355114,0.2387701134424427,0.01892249627295849
Tumor_epithelial,8.218127009673138,8.048036306973861,-0.17009070269927662,0.004261680339040212
Fibroblast,7.144847113000394,8.131367621956942,0.9865205089565476,4.7287755354125416e-14
Myofibroblast,7.304230956033914,8.456762094444043,1.1525311384101293,2.078712643308615e-14
Endothelial,6.095595118332207,6.2935373832151456,0.19794226488293898,1.318694693278887e-05
T_cell,5.3030660353506445,5.654248535305604,0.35118249995495976,3.774677544934681e-12
NK_cell,5.150957337097099,5.417255937225879,0.26629860012878037,1.021835544195349e-11
B_plasma,5.304600761229217,5.8959577210967264,0.5913569598675092,2.5198249202706557e-08
Myeloid,6.339489105967897,6.691957585880103,0.352468479912206,6.56367034578997e-08
Mast_cell,5.510740632281743,6.056134473873364,0.5453938415916211,1.7950791092578743e-11
