pmid,doi,title,year,journal,authors,n_genes,extraction_status,confidence,source,endpoint_overall_survival,endpoint_recurrence,endpoint_progression,endpoint_immunotherapy_response,platform_rna_seq,platform_microarray,platform_tcga,platform_geo,sample_size_mentions,immune_related_by_title_or_abstract
42030617,10.1016/j.compbiolchem.2026.109071,A computational framework identifies a matrisome-related gene signature for bladder cancer prognosis and prioritizes candidate compounds.,2026,,Wu G; Yu W; Yao D; Ma X; Fan C; Hou J; Ren X; Tian J,9,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
42493447,10.19723/j.issn.1671-167X.2026.04.016,[Development of a 36-gene signature for predicting recurrence in non-muscle-invasive bladder cancer and validation in a Chinese cohort].,2026,,Dong L; Peng Y; Song Y; Li X; DU Y; Xu T,36,extracted,medium,fulltext_figure_ocr,0,1,0,0,0,0,0,0,,0
42576531,10.2174/0109298673470246260702000813,Construction and Validation of a Ubiquitination-Related Gene Signature Based on WGCNA and Single-cell RNA Sequencing in Bladder Cancer.,2026,,Li Z; Yan T; Hu C; Lu Z; Zhang J; Wu X; Chen Y; Tang Z; Zheng H; He Z,6,extracted,high,abstract,0,0,0,0,1,0,0,0,,0
42500328,10.34133/csbj.0139,Epigenomics-Guided Multi-Omics Integration Uncovers a Lipid-Metabolic Signature with Translational Utility in Bladder Cancer.,2026,,Wang YD; Lai YL; Liu CH; Su YT; Shen PC; Chen FH; Li CY; Wang SC; Ma WL; Huang CP,4,extracted,high,fulltext_window,0,0,0,0,0,0,0,0,,0
42482080,10.1186/s12967-026-08681-2,A bladder cancer-associated gene signature for exploratory qPCR-based survival stratification in NAC-Treated muscle-invasive bladder cancer.,2026,,Chen X; Sakatani T; Tanaka S; Contreras-Sanz A; Black P; Rosser CJ; Furuya H,3,extracted,high,abstract,0,0,0,0,0,0,0,0,,0
42436798,10.21037/tau-2026-1-0147,Prognostic and immunological implications of a mitophagy-associated gene signature in bladder cancer.,2026,,Han C; Miao L; Liu Y; Wang Y; Wu J; Du P,5,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
42421957,10.3389/fimmu.2026.1846096,Liquid-liquid phase separation-associated gene networks link EMT and ferroptosis to define a PDGFRB-centered prognostic signature in bladder cancer.,2026,,Zhang X; Ge P; Chen Q; Wang S; Yang D,5,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
42215586,10.1038/s41598-026-55438-4,Ethnicity-specific molecular subtypes and a machine-learning risk model in Asian patients with non-muscle-invasive bladder cancer.,2026,,Jung M; Park S; Jang I; Han D; Cho YM; Kim K; Moon KC,3,extracted,low,abstract,0,0,0,0,0,0,0,0,,0
42244509,10.62347/RKHD2558,A five-gene mitochondria-associated prognostic signature for bladder cancer.,2026,,Liu J; Li B; Hou R; Sun J; Ning X; Li C; Li F; Zhang L,5,extracted,high,abstract_window,1,0,0,0,0,0,0,0,,0
42059994,10.1007/s12672-026-05111-z,Development and validation of an interpretable prognostic model for bladder cancer based on lactylation associated genes using SHAP analysis.,2026,,Wang Y; Yu X,4,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
