pmid,n_patients,n_high,modal_consensus_high,modal_consensus_all,ba_sq_high_rate,ba_sq_low_rate,classification_v6_standard
26802582,402,201,Ba/Sq,Ba/Sq,0.4228855721393035,0.3333333333333333,unclassified_standard
28400426,402,201,Ba/Sq,Ba/Sq,0.6567164179104478,0.09950248756218906,microenvironment_correlated_standard
29147616,402,201,Ba/Sq,Ba/Sq,0.5074626865671642,0.24875621890547264,microenvironment_correlated_standard
30642841,402,201,LumP,Ba/Sq,0.25870646766169153,0.4975124378109453,microenvironment_associated_attenuation_standard
30846479,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
31894276,402,201,Ba/Sq,Ba/Sq,0.5522388059701493,0.20398009950248755,microenvironment_correlated_standard
32096345,402,201,Ba/Sq,Ba/Sq,0.5124378109452736,0.24378109452736318,microenvironment_correlated_standard
32117435,402,201,Ba/Sq,Ba/Sq,0.4925373134328358,0.263681592039801,microenvironment_correlated_standard
32467671,402,201,Ba/Sq,Ba/Sq,0.4079601990049751,0.3482587064676617,unclassified_standard
32695477,402,201,Ba/Sq,Ba/Sq,0.5422885572139303,0.21393034825870647,microenvironment_correlated_standard
32763782,402,201,Ba/Sq,Ba/Sq,0.44776119402985076,0.30845771144278605,microenvironment_correlated_standard
32929335,402,201,Ba/Sq,Ba/Sq,0.30845771144278605,0.44776119402985076,microenvironment_correlated_standard
33208770,402,201,Ba/Sq,Ba/Sq,0.35323383084577115,0.40298507462686567,unclassified_standard
33292266,402,201,Ba/Sq,Ba/Sq,0.46766169154228854,0.2885572139303483,microenvironment_associated_attenuation_standard
33313125,402,201,Ba/Sq,Ba/Sq,0.4427860696517413,0.31343283582089554,microenvironment_correlated_standard
33391264,402,201,Ba/Sq,Ba/Sq,0.4427860696517413,0.31343283582089554,microenvironment_associated_attenuation_standard
33392066,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,microenvironment_correlated_standard
33456631,402,201,Ba/Sq,Ba/Sq,0.4577114427860697,0.29850746268656714,microenvironment_correlated_standard
33459039,402,201,Ba/Sq,Ba/Sq,0.6268656716417911,0.12935323383084577,microenvironment_correlated_standard
33535616,402,201,Ba/Sq,Ba/Sq,0.4975124378109453,0.25870646766169153,unclassified_standard
33545950,402,201,Ba/Sq,Ba/Sq,0.527363184079602,0.22885572139303484,unclassified_standard
33837006,402,201,Ba/Sq,Ba/Sq,0.4975124378109453,0.25870646766169153,microenvironment_correlated_standard
33925460,402,201,LumP,Ba/Sq,0.22885572139303484,0.527363184079602,composition_adjustment_persistent_standard
33937319,402,201,Ba/Sq,Ba/Sq,0.5422885572139303,0.21393034825870647,microenvironment_correlated_standard
33962639,402,201,Ba/Sq,Ba/Sq,0.4626865671641791,0.2935323383084577,unclassified_standard
33985530,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
34095228,402,201,LumP,Ba/Sq,0.2537313432835821,0.5024875621890548,unclassified_standard
34112144,402,201,Ba/Sq,Ba/Sq,0.5572139303482587,0.19900497512437812,microenvironment_correlated_standard
34266411,402,201,Ba/Sq,Ba/Sq,0.5124378109452736,0.24378109452736318,microenvironment_correlated_standard
34329197,402,201,Ba/Sq,Ba/Sq,0.5671641791044776,0.1890547263681592,microenvironment_correlated_standard
34339395,402,201,Ba/Sq,Ba/Sq,0.5373134328358209,0.21890547263681592,microenvironment_correlated_standard
34368227,402,201,Ba/Sq,Ba/Sq,0.417910447761194,0.3383084577114428,microenvironment_correlated_standard
34404901,402,201,Ba/Sq,Ba/Sq,0.5621890547263682,0.19402985074626866,microenvironment_correlated_standard
34418989,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,microenvironment_associated_attenuation_standard
34422642,402,201,Ba/Sq,Ba/Sq,0.3681592039800995,0.3880597014925373,unclassified_standard
34426176,402,201,Ba/Sq,Ba/Sq,0.47761194029850745,0.27860696517412936,microenvironment_correlated_standard
34490263,402,201,Ba/Sq,Ba/Sq,0.527363184079602,0.22885572139303484,microenvironment_correlated_standard
34512654,402,201,Ba/Sq,Ba/Sq,0.39800995024875624,0.3582089552238806,unclassified_standard
34512722,402,201,Ba/Sq,Ba/Sq,0.3582089552238806,0.39800995024875624,microenvironment_correlated_standard
34521394,402,201,Ba/Sq,Ba/Sq,0.36318407960199006,0.39303482587064675,microenvironment_correlated_standard
34530089,402,201,Ba/Sq,Ba/Sq,0.5870646766169154,0.1691542288557214,microenvironment_correlated_standard
34644219,402,201,Ba/Sq,Ba/Sq,0.417910447761194,0.3383084577114428,composition_adjustment_persistent_standard
34706720,402,201,Ba/Sq,Ba/Sq,0.5572139303482587,0.19900497512437812,microenvironment_correlated_standard
34803395,402,201,Ba/Sq,Ba/Sq,0.6119402985074627,0.14427860696517414,microenvironment_associated_attenuation_standard
34849009,402,201,Ba/Sq,Ba/Sq,0.5621890547263682,0.19402985074626866,microenvironment_correlated_standard
34901008,402,201,Ba/Sq,Ba/Sq,0.5870646766169154,0.1691542288557214,microenvironment_correlated_standard
35023971,402,201,Ba/Sq,Ba/Sq,0.47761194029850745,0.27860696517412936,microenvironment_correlated_standard
35027921,402,201,Ba/Sq,Ba/Sq,0.4626865671641791,0.2935323383084577,unclassified_standard
35125116,402,201,Ba/Sq,Ba/Sq,0.4228855721393035,0.3333333333333333,microenvironment_correlated_standard
35127296,402,201,Ba/Sq,Ba/Sq,0.42786069651741293,0.3283582089552239,microenvironment_correlated_standard
35169299,402,201,LumP,Ba/Sq,0.1890547263681592,0.5671641791044776,composition_adjustment_persistent_standard
35205125,402,201,Ba/Sq,Ba/Sq,0.6965174129353234,0.05970149253731343,microenvironment_correlated_standard
35265613,402,201,LumP,Ba/Sq,0.27860696517412936,0.47761194029850745,unclassified_standard
35281080,402,201,LumP,Ba/Sq,0.22388059701492538,0.5323383084577115,microenvironment_correlated_standard
35299749,402,201,LumP,Ba/Sq,0.3283582089552239,0.42786069651741293,composition_adjustment_persistent_standard
35300137,402,201,Ba/Sq,Ba/Sq,0.48756218905472637,0.26865671641791045,microenvironment_correlated_standard
35309900,402,201,Ba/Sq,Ba/Sq,0.5771144278606966,0.1791044776119403,microenvironment_correlated_standard
35480865,402,201,Ba/Sq,Ba/Sq,0.3781094527363184,0.3781094527363184,unclassified_standard
35593896,402,201,Ba/Sq,Ba/Sq,0.5174129353233831,0.23880597014925373,microenvironment_correlated_standard
35626146,402,201,Ba/Sq,Ba/Sq,0.4129353233830846,0.34328358208955223,unclassified_standard
35646934,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
35669725,402,201,Ba/Sq,Ba/Sq,0.6567164179104478,0.09950248756218906,microenvironment_correlated_standard
35730624,402,201,Ba/Sq,Ba/Sq,0.5223880597014925,0.23383084577114427,unclassified_standard
35804889,402,201,Ba/Sq,Ba/Sq,0.46766169154228854,0.2885572139303483,microenvironment_correlated_standard
35846128,402,201,Ba/Sq,Ba/Sq,0.31840796019900497,0.43781094527363185,microenvironment_correlated_standard
35918812,402,201,Ba/Sq,Ba/Sq,0.43283582089552236,0.32338308457711445,microenvironment_correlated_standard
35949618,402,201,Ba/Sq,Ba/Sq,0.36318407960199006,0.39303482587064675,microenvironment_associated_attenuation_standard
35958598,402,201,Ba/Sq,Ba/Sq,0.4577114427860697,0.29850746268656714,microenvironment_correlated_standard
36158580,402,201,Ba/Sq,Ba/Sq,0.5124378109452736,0.24378109452736318,unclassified_standard
36211359,402,201,Ba/Sq,Ba/Sq,0.5174129353233831,0.23880597014925373,microenvironment_correlated_standard
36211821,402,201,Ba/Sq,Ba/Sq,0.3582089552238806,0.39800995024875624,unclassified_standard
36300085,402,201,Ba/Sq,Ba/Sq,0.572139303482587,0.18407960199004975,microenvironment_correlated_standard
36358715,402,201,Ba/Sq,Ba/Sq,0.527363184079602,0.22885572139303484,microenvironment_correlated_standard
36428492,402,201,Ba/Sq,Ba/Sq,0.6019900497512438,0.15422885572139303,microenvironment_correlated_standard
36455365,402,201,Ba/Sq,Ba/Sq,0.35323383084577115,0.40298507462686567,microenvironment_correlated_standard
36468020,402,201,Ba/Sq,Ba/Sq,0.417910447761194,0.3383084577114428,microenvironment_correlated_standard
36505302,402,201,Ba/Sq,Ba/Sq,0.43781094527363185,0.31840796019900497,unclassified_standard
36527532,402,201,Ba/Sq,Ba/Sq,0.5771144278606966,0.1791044776119403,microenvironment_correlated_standard
36568387,402,201,Ba/Sq,Ba/Sq,0.472636815920398,0.2835820895522388,microenvironment_correlated_standard
36620542,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
36973645,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,microenvironment_correlated_standard
37138324,402,201,Ba/Sq,Ba/Sq,0.527363184079602,0.22885572139303484,unclassified_standard
37152941,402,201,Ba/Sq,Ba/Sq,0.572139303482587,0.18407960199004975,unclassified_standard
37244876,402,201,Ba/Sq,Ba/Sq,0.5074626865671642,0.24875621890547264,microenvironment_correlated_standard
37301098,402,201,Ba/Sq,Ba/Sq,0.5124378109452736,0.24378109452736318,microenvironment_correlated_standard
37379131,402,201,Ba/Sq,Ba/Sq,0.6467661691542289,0.10945273631840796,microenvironment_correlated_standard
37423913,402,201,LumP,Ba/Sq,0.31840796019900497,0.43781094527363185,microenvironment_correlated_standard
