pmid,correction,reason
30642841,add_to_include,abstract confirms multi-gene mRNA signature/risk model
37138324,add_to_include,abstract confirms multi-gene mRNA signature/risk model
37780567,add_to_include,abstract confirms multi-gene mRNA signature/risk model
38570787,add_to_include,abstract confirms multi-gene mRNA signature/risk model
39739621,add_to_include,abstract confirms multi-gene mRNA signature/risk model
40626022,add_to_include,abstract confirms multi-gene mRNA signature/risk model
40867253,add_to_include,abstract confirms multi-gene mRNA signature/risk model
41153362,add_to_include,abstract confirms multi-gene mRNA signature/risk model
41388608,add_to_include,abstract confirms multi-gene mRNA signature/risk model
41862905,add_to_include,abstract confirms multi-gene mRNA signature/risk model
32695477,add_to_include,abstract confirms multi-gene mRNA signature/risk model
34512654,add_to_include,abstract confirms multi-gene mRNA signature/risk model
35669725,add_to_include,abstract confirms multi-gene mRNA signature/risk model
39392600,add_to_include,abstract confirms multi-gene mRNA signature/risk model
40918470,add_to_include,abstract confirms multi-gene mRNA signature/risk model
41836296,add_to_include,abstract confirms multi-gene mRNA signature/risk model
42279297,add_to_include,abstract confirms multi-gene mRNA signature/risk model
42436233,add_to_include,abstract confirms multi-gene mRNA signature/risk model
32441304,add_to_exclude,not a multi-gene mRNA expression model
33779704,add_to_exclude,not a multi-gene mRNA expression model
36206128,add_to_exclude,not a multi-gene mRNA expression model
