pmid,title,abstract,reviewer1_decision,reviewer2_decision,reviewer2_reason,adjudicator_decision,adjudicator_reason
29226853,Clinical and RNA expression integrated signature for urothelial bladder cancer prognosis.,"Accumulating evidence shows that clinical factors alone are not adequate for predicting the survival of patients with urothelial bladder cancer (UBC), and many genes have been found to be associated with UBC prognosis.The objective of this study is to develop a signature which integrates clinical and molecular information to predict the overall survival of UBC patients more accurate.We integrated messenger RNA (mRNA) and microRNA (miRNA) expression profiles and the corresponding clinical data of 402 UBC patients and 19 normal controls from The Cancer Genome Atlas. Univariate Cox regression followed by a multiple testing correction and an elastic net-regulated Cox regression were adopted to identify a prognostic signature.We generated an integrated clinical-RNA signature which consisting of 3 clinical variables, 3 protective mRNAs, 7 risky mRNAs, 2 protective miRNAs and 1 risky miRNA. The area under the receiver operating characteristic curve of the integrated clinical-RNA signature was 0.802, larger than that of the clinical-alone signature (0.709) or the RNA-alone signature (0.726). UBC patients in the high-risk group had a significantly shorter overall survival time compared with patients in the low-risk group (clinical-RNA signature, hazard ratio = 2.441).Our conclusions that we have identified an integrated clinical-RNA signature that was superior to the traditional clinical-alone signature for ascertaining the overall survival prognosis of patients with UBC. These findings provide some novel genes for tumor molecular biologist to further study their functions and mechanisms in UBC tumorigenesis and malignance, and may be useful for effective clinical risk management of UBC patients.",include,exclude,签名同时纳入miRNA，不符合纳入标准,exclude,Integrated signature includes miRNA components
29896284,Development Of A Three-Gene Prognostic Signature For Hepatitis B Virus Associated Hepatocellular Carcinoma Based On Integrated Transcriptomic Analysis.,"Integration of public genome-wide gene expression data together with Cox regression analysis is a powerful weapon to identify new prognostic gene signatures for cancer diagnosis and prognosis. Hepatitis B virus (HBV) is a major cause of hepatocellular carcinoma (HCC), however, it remains largely unknown about the specific gene prognostic signature of HBV-associated HCC. Using Robust Rank Aggreg (RRA) method to integrate seven whole genome expression datasets, we identified 82 up-regulated genes and 577 down-regulated genes in HBV-associated HCC patients. Combination of several enrichment analysis, univariate and multivariate Cox proportional hazards regression analysis, we revealed that a three-gene (SPP2, CDC37L1, and ECHDC2) prognostic signature could act as an independent prognostic indicator for HBV-associated HCC in both the discovery cohort and the internal testing cohort. Gene set enrichment analysis showed that the high-risk group with lower expression levels of the three genes was enriched in bladder cancer and cell cycle pathway, whereas the low-risk group with higher expression levels of the three genes was enriched in drug metabolism-cytochrome P450, PPAR signaling pathway, fatty acid and histidine metabolisms. This indicates that patients of HBV-associated HCC with higher expression of these three genes may preserve relatively good hepatic cellular metabolism and function, which may also protect HCC patients from persistent drug toxicity in response to various medication. Our findings suggest a three-gene prognostic model that serves as a specific prognostic signature for HBV-associated HCC.",include,exclude,研究对象为Hepatocellular Carcinoma，非膀胱癌或尿路上皮癌,exclude,Primary cancer is hepatocellular carcinoma
30642841,Serum Metabolic Profiling Identified a Distinct Metabolic Signature in Bladder Cancer Smokers: A Key Metabolic Enzyme Associated with Patient Survival.,"The current system to predict the outcome of smokers with bladder cancer is insufficient due to complex genomic and transcriptomic heterogeneities. This study aims to identify serum metabolite-associated genes related to survival in this population.We performed LC/MS-based targeted metabolomic analysis for >300 metabolites in serum obtained from two independent cohorts of bladder cancer never smokers, smokers, healthy smokers, and healthy never smokers. A subset of differential metabolites was validated using Biocrates absoluteIDQ p180 Kit. Genes associated with differential metabolites were integrated with a publicly available cohort of The Cancer Genome Atlas (TCGA) to obtain an intersecting signature specific for bladder cancer smokers.Forty metabolites (FDR < 0.25) were identified to be differential between bladder cancer never smokers and smokers. Increased abundance of amino acids (tyrosine, phenylalanine, proline, serine, valine, isoleucine, glycine, and asparagine) and taurine were observed in bladder cancer smokers. Integration of differential metabolomic gene signature and transcriptomics data from TCGA cohort revealed an intersection of 17 genes that showed significant correlation with patient survival in bladder cancer smokers. Importantly, catechol-O-methyltransferase, iodotyrosine deiodinase, and tubulin tyrosine ligase showed a significant association with patient survival in publicly available bladder cancer smoker datasets and did not have any clinical association in never smokers.Serum metabolic profiling of bladder cancer smokers revealed dysregulated amino acid metabolism. It provides a distinct gene signature that shows a prognostic value in predicting bladder cancer smoker survival.Serum metabolic signature-derived genes act as a predictive tool for studying the bladder cancer progression in smokers.©2019 American Association for Cancer Research.",include,exclude,基于代谢物签名，不符合纳入标准,include,17-gene mRNA signature derived from metabolomics
30846479,Multi-omics Integration Analysis Robustly Predicts High-Grade Patient Survival and Identifies CPT1B Effect on Fatty Acid Metabolism in Bladder Cancer.,"The perturbation of metabolic pathways in high-grade bladder cancer has not been investigated. We aimed to identify a metabolic signature in high-grade bladder cancer by integrating unbiased metabolomics, lipidomics, and transcriptomics to predict patient survival and to discover novel therapeutic targets.We performed high-resolution liquid chromatography mass spectrometry (LC-MS) and bioinformatic analysis to determine the global metabolome and lipidome in high-grade bladder cancer. We further investigated the effects of impaired metabolic pathways using in vitro and in vivo models.We identified 519 differential metabolites and 19 lipids that were differentially expressed between low-grade and high-grade bladder cancer using the NIST MS metabolomics compendium and lipidblast MS/MS libraries, respectively. Pathway analysis revealed a unique set of biochemical pathways that are highly deregulated in high-grade bladder cancer. Integromics analysis identified a molecular gene signature associated with poor patient survival in bladder cancer. Low expression of CPT1B in high-grade tumors was associated with low FAO and low acyl carnitine levels in high-grade bladder cancer, which were confirmed using tissue microarrays. Ectopic expression of the CPT1B in high-grade bladder cancer cells led to reduced EMT in in vitro, and reduced cell proliferation, EMT, and metastasis in vivo.Our study demonstrates a novel approach for the integration of metabolomics, lipidomics, and transcriptomics data, and identifies a common gene signature associated with poor survival in patients with bladder cancer. Our data also suggest that impairment of FAO due to downregulation of CPT1B plays an important role in the progression toward high-grade bladder cancer and provide potential targets for therapeutic intervention.©2019 American Association for Cancer Research.",exclude,include,,include,Multi-gene transcriptomic prognostic signature
32165065,Impact of Molecular Subtyping and Immune Infiltration on Pathological Response and Outcome Following Neoadjuvant Pembrolizumab in Muscle-invasive Bladder Cancer.,"The PURE-01 study (NCT02736266) evaluated the use of pembrolizumab before radical cystectomy (RC) in muscle-invasive bladder cancer (MIBC).To evaluate the ability of molecular signatures to predict the pathological complete response (CR: ypT0N0) and progression-free survival (PFS) after pembrolizumab and RC.We analyzed the expression data from patients with T2-4aN0M0 MIBC enrolled in the PURE-01 study (N=84) and from patients of a retrospective multicenter cohort treated with cisplatin-based neoadjuvant chemotherapy (NAC; N=140).Neoadjuvant pembrolizumab or NAC and RC.Immune signatures and molecular subtyping (The Cancer Genome Atlas, consensus model, and genomic subtyping classifier [GSC]) were evaluated in relation to CR and PFS. Multivariable logistic regression analyses for CR were used, adjusting for gender and clinical T stage.The Immune190 signature was significant for CR on multivariable logistic regression analyses (p= 0.02) in PURE-01, but not in the NAC cohort (p= 0.7). Hallmark signatures for interferon gamma (IFNγ; p= 0.004) and IFNα response (p= 0.006) were also associated with CR for PURE-01, but not for NAC (IFNγ: p= 0.9 and IFNα: p= 0.8). In PURE-01, 93% of patients with the highest Immune190 scores (>1st quartile) had 2-yr PFS versus 79% of those with lower scores; no difference was observed in NAC patients, as well as for the other hallmarks in both groups. The neuroendocrine-like subtype had the worst 2-yr PFS in all three subtyping models (33%) and the GSC claudin-low subtype had the best, with no recurrences in 2 yr. Basal subtypes (across classifications) with higher Immune190 scores showed 100% 2-yr PFS after pembrolizumab therapy (p = 0.04, compared with basal-Immune190 low). Statistical analyses are limited by the small number of events and short follow-up.Higher RNA-based immune signature scores were significantly associated with CR and numerically improved PFS outcomes after pembrolizumab, but not after NAC. These data emphasize that RNA profiling is a potential tool for personalizing neoadjuvant therapy selection.We used gene expression profiling to evaluate the association between immune gene expression and response to neoadjuvant immunotherapy, compared with standard chemotherapy, in patients with muscle-invasive bladder cancer (MIBC). We found a significant association between immune gene expression and response to pembrolizumab, but not chemotherapy. We conclude that gene expression profiling has the potential to guide personalized neoadjuvant therapy in MIBC.Copyright © 2020 European Association of Urology. Published by Elsevier B.V. All rights reserved.",exclude,include,,include,Multi-gene molecular subtypes and response endpoint
32497499,Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer.,"Responses to anti-PD-1 immunotherapy occur but are infrequent in bladder cancer. The specific T cells that mediate tumor rejection are unknown. T cells from human bladder tumors and non-malignant tissue were assessed with single-cell RNA and paired T cell receptor (TCR) sequencing of 30,604 T cells from 7 patients. We find that the states and repertoires of CD8+ T cells are not distinct in tumors compared with non-malignant tissues. In contrast, single-cell analysis of CD4+ T cells demonstrates several tumor-specific states, including multiple distinct states of regulatory T cells. Surprisingly, we also find multiple cytotoxic CD4+ T cell states that are clonally expanded. These CD4+ T cells can kill autologous tumors in an MHC class II-dependent fashion and are suppressed by regulatory T cells. Further, a gene signature of cytotoxic CD4+ T cells in tumors predicts a clinical response in 244 metastatic bladder cancer patients treated with anti-PD-L1.Copyright © 2020 The Authors. Published by Elsevier Inc. All rights reserved.",exclude,include,,exclude,No multi-gene prognostic model
32882873,Cancer-Specific Immune Prognostic Signature in Solid Tumors and Its Relation to Immune Checkpoint Therapies.,"To elucidate the role of immune cell infiltration as a prognostic signature in solid tumors, we analyzed immune-function-related genes from four publicly available single-cell RNA-Seq data sets and twenty bulk tumor RNA-Seq data sets from The Cancer Genome Atlas (TCGA). Unsupervised clustering of pan-cancer transcriptomic signature showed two major immune function types: one related to NK-, T-, and B-cell functions and the other related to monocyte, macrophage, dendritic cell, and Toll-like receptor functions. Kaplan-Meier analysis showed differential prognosis of these two groups, dependent on the cancer type. Our analysis of TCGA solid tumors with an elastic net model identified 155 genes associated with disease-free survival in different tumor types with varied influence across different cancer types. With this gene set, we computed cancer-specific prognostic immune score models for individual cancer types that predicted disease-free and overall survival. Validation of our model on available published data of immune checkpoint blockade therapies on melanoma, kidney renal cell carcinoma, non-small cell lung cancer, gastric cancer and bladder cancer confirmed that cancer-specific higher immune scores are associated with response to immunotherapy. Our analysis provides a comprehensive map of cancer-specific immune-related prognostic gene sets that are associated with immunotherapy response.",include,exclude,泛癌研究，研究对象不限于膀胱癌或尿路上皮癌,exclude,"Pan-cancer signature, not bladder-specific"
32929335,Identification of glycogene-type and validation of ST3GAL6 as a biomarker predicts clinical outcome and cancer cell invasion in urinary bladder cancer.,"Background: Urinary bladder cancer (UBC) is one of the most common causes of morbidity and mortality worldwide characterized by a high risk of invasion and metastasis; however, the molecular classification biomarkers and underlying molecular mechanisms for UBC patient stratification on clinical outcome need to be investigated. Methods: A systematic transcriptomic analysis of 185 glycogenes in the public UBC datasets with survival information and clinicopathological parameters were performed using unsupervised hierarchical clustering. The gene signature for glycogene-type classification was identified using Limma package in R language, and correlated to 8 known molecular features by Gene Set Variation Analysis (GSVA). The clinical relevance and function of a glycogene was characterized by immunohistochemistry in UBC patient samples, and quantitative RT-PCR, Western blotting, promoter activity, MAL II blotting, immunofluorescence staining, wound healing, and transwell assays in UBC cells. Results: A 14-glycogene signature for glycogene-type classification was identified. Among them, ST3GAL6, a glycotransferase to transfer sialic acid to 3'-hydroxyl group of a galactose residue, showed a significant negative association with the subtype with luminal feature in UBC patients (n=2,130 in total). Increased ST3GAL6 was positively correlated to tumor stage, grade, and survival in UBCs from public datasets or our cohort (n=52). Transcription factor GATA3, a luminal-specific marker for UBC, was further identified as a direct upstream regulator of ST3GAL6 to negatively regulate its transactivation. ST3GAL6 depletion decreased MAL II level, cell invasion and migration in 5637 and J82 UBC cells. ST3GAL6 could reverse the effects of GATA3 on global sialylation and cell invasion in SW780 cells. Conclusions: Herein, we successfully identified a novel 14-gene signature for glycogene-type classification of UBC patients. ST3GAL6 gene, from this signature, was demonstrated as a potential biomarker for poor outcomes and cell invasion in UBCs.© The author(s).",exclude,include,,include,14-glycogene classification signature
33096258,An 18-gene signature based on glucose metabolism and DNA methylation improves prognostic prediction for urinary bladder cancer.,"Glucose metabolism and DNA methylation play important roles in cancers. We aimed to identify glucose metabolism-related genes that were DNA methylation associated to establish a prognostic signature of bladder cancer (BLCA).With BLCA sample transcriptome data from The Cancer Genome Atlas (TCGA) and methylation data from TCGA 450 K microarray, glucose metabolism-related genes associated to prognosis and DNA methylation were identified and a prognostic signature was established. GSEA and WGCNA analysis were performed and two genes, UCHL1 and PYCR1, were selected for functional validations.18 target genes were identified and the signature based on them was considered an effective and independent prognostic factor. Several pathways were enriched in the high-risk group by GSEA and three modules of genes were identified by WGCNA. UCHL1 and PYCR1 proliferated proliferation, migration and invasion ability of bladder cancer cells.The 18-gene signature is an independent prognostic factor for bladder cancer patients.Copyright © 2020 Elsevier Inc. All rights reserved.",exclude,include,,include,18-gene expression signature
33208770,Transcriptomic analysis of micropapillary high grade T1 urothelial bladder cancer.,"No consensus currently exist on the optimal treatment of patients with high-risk nonmuscle invasive (HGT1) micropapillary variant of bladder cancer (MPBC). Transcripsome analysis may allow stratification of MPBC-HGT1 enabling prediction of recurrence and guide therapeutic management for individual patients. Whole transcriptome RNA-Sequencing of tumors from 23 patients with MPBC-HGT1 and 64 conventional urothelial carcinomas (cUC) (reference set) was performed. Differentially expressed genes between MPBC-HGT1 and cUC-HGT1 were explored. Cox proportional hazard models and Kapplan-Meier methods were used to assess the relation between time to progression (TTP) and individual gene expression adjusting for clinical covariates. Over 3000 genes were differentially expressed in MPBC-HGT1 as compared with cUC-HGT1 and a 26-gene signature is characteristic of MPBC within HGT1. A set of three genes; CD36, FAPB3 and RAETE1; were significantly associated with TTP. High expression of FABP3 and CD36 were associated with shorter TTP (p = 0.045 and p = 0.08) as was low expression of RAET1E (p = 0.01). Our study suggest that a 26-gene signature can define MPBC-HGT1 within conventional urothelial carcinomas. A prognostic risk index of three genes (FABP3, CD36 and RAET1E) was found to be associated with shorter TTP and may help classify a group of patients with MPBC-HGT1 with high-risk of early progression. These observations might have implications in terms of radical cystectomy recommendation in MPBC patients.",exclude,include,,include,26-gene signature and 3-gene progression index
