"pmid","reviewer1_decision","reviewer2_decision","reviewer2_reason"
29226853,"include","exclude","签名同时纳入miRNA，不符合纳入标准"
29896284,"include","exclude","研究对象为Hepatocellular Carcinoma，非膀胱癌或尿路上皮癌"
30642841,"include","exclude","基于代谢物签名，不符合纳入标准"
30846479,"exclude","include",
32165065,"exclude","include",
32497499,"exclude","include",
32882873,"include","exclude","泛癌研究，研究对象不限于膀胱癌或尿路上皮癌"
32929335,"exclude","include",
33096258,"exclude","include",
33208770,"exclude","include",
33392066,"exclude","include",
33837006,"exclude","include",
33985530,"exclude","include",
34329197,"exclude","include",
34521394,"exclude","include",
34901008,"exclude","include",
35092511,"include","exclude","泛癌研究，研究对象不限于膀胱癌或尿路上皮癌"
35265613,"exclude","include",
35593896,"exclude","include",
35784457,"exclude","include",
35804889,"exclude","include",
35846128,"exclude","include",
35958598,"exclude","include",
36186809,"include","exclude","基于增强子RNA风险模型，不属于mRNA/基因表达模型"
36300085,"exclude","include",
36358715,"exclude","include",
36428492,"exclude","include",
36468020,"exclude","include",
36505302,"exclude","include",
36777726,"include","exclude","基于lncRNA签名，不符合纳入标准"
37064115,"include","exclude","基于lncRNA签名，不符合纳入标准"
37455996,"exclude","include",
37701108,"exclude","include",
37740761,"exclude","include",
37802365,"exclude","include",
37869074,"exclude","include",
38017469,"exclude","include",
38172584,"exclude","include",
38183115,"exclude","include",
38217031,"exclude","include",
38282152,"exclude","include",
38333832,"exclude","include",
38356551,"exclude","include",
38387404,"exclude","include",
38439961,"include","exclude","仅鉴定CIS相关46基因表达签名，未报告规定临床终点"
38493947,"exclude","include",
39269596,"exclude","include",
39368544,"exclude","include",
39380003,"exclude","include",
39603145,"exclude","include",
39695796,"exclude","include",
39769061,"exclude","include",
40018511,"exclude","include",
40097551,"exclude","include",
40405063,"exclude","include",
40589607,"exclude","include",
40631135,"exclude","include",
40703521,"exclude","include",
40867253,"include","exclude","细胞系缺氧基因表达研究，未报告规定临床终点"
40916434,"exclude","include",
40994220,"exclude","include",
41137061,"exclude","include",
41144872,"exclude","include",
41507856,"exclude","include",
41582171,"exclude","include",
41656395,"exclude","include",
41668898,"exclude","include",
41685329,"exclude","include",
41689016,"exclude","include",
41715136,"exclude","include",
41727459,"exclude","include",
41794187,"exclude","include",
41809777,"include","exclude","基于lncRNA签名，不符合纳入标准"
42164400,"exclude","include",
42220482,"exclude","include",
42251607,"exclude","include",
42319469,"exclude","include",
42371282,"exclude","include",
42516298,"exclude","include",
42555166,"exclude","include",
