"pmid","reviewer1_decision","reviewer2_decision","reviewer2_reason"
26171066,"exclude","exclude","单基因靶基因机制分析，未构建多基因风险模型"
26802582,"include","include",NA
27189164,"exclude","exclude","单基因/剪接异构体机制研究，未构建多基因风险模型"
28400426,"include","include",NA
28493171,"exclude","exclude","综述/meta分析等非原始研究"
29147616,"include","include",NA
29150671,"exclude","exclude","基于蛋白质组签名，不符合纳入标准"
29226853,"include","exclude","签名同时纳入miRNA，不符合纳入标准"
29703843,"exclude","exclude","基于miRNA签名，不符合纳入标准"
29729848,"exclude","exclude","研究对象为Prostate Cancer，非膀胱癌或尿路上皮癌"
29896284,"include","exclude","研究对象为Hepatocellular Carcinoma，非膀胱癌或尿路上皮癌"
30048970,"exclude","exclude","基于可变剪接事件签名，不符合纳入标准"
30403777,"exclude","exclude","单基因动物机制研究，未构建临床多基因风险模型"
30548659,"exclude","exclude","分子分型同时纳入miRNA数据，不符合纳入标准"
30642841,"include","exclude","基于代谢物签名，不符合纳入标准"
30719168,"exclude","exclude","仅基于PD-L1/CD8表达的免疫分型，未报告规定临床终点"
30784602,"exclude","exclude","基于DNA甲基化场效应分析，未构建mRNA多基因模型"
30846479,"exclude","include",NA
30953370,"exclude","exclude","基于DNA甲基化位点签名，不符合纳入标准"
30998483,"exclude","exclude","基于miRNA签名，不符合纳入标准"
31610173,"exclude","exclude","仅鉴定基底样分子亚型，未报告规定临床终点"
31794632,"exclude","exclude","基于DNA甲基化位点签名，不符合纳入标准"
31894276,"include","include",NA
32096345,"include","include",NA
32117435,"include","include",NA
32165065,"exclude","include",NA
32441304,"exclude","exclude","基于DNA甲基化位点签名，不符合纳入标准"
32467671,"include","include",NA
32471889,"exclude","exclude","仅PD-L1相关免疫表达谱，未报告规定临床终点"
32497499,"exclude","include",NA
32579540,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
32695477,"include","include",NA
32763782,"include","include",NA
32805727,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
32882873,"include","exclude","泛癌研究，研究对象不限于膀胱癌或尿路上皮癌"
32929335,"exclude","include",NA
33096258,"exclude","include",NA
33208770,"exclude","include",NA
33270518,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
33292266,"include","include",NA
33313125,"include","include",NA
33324071,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
33391264,"include","include",NA
33392066,"exclude","include",NA
33456631,"include","include",NA
33459039,"include","include",NA
33482279,"exclude","exclude","单基因机制研究，未构建多基因风险模型"
33535616,"include","include",NA
33545950,"include","include",NA
33552945,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
33779704,"exclude","exclude","仅筛选两个预后生物标志物，未构建多基因风险模型"
33837006,"exclude","include",NA
33850758,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
33869042,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
33896821,"exclude","exclude","单基因机制研究，且研究对象涵盖多种癌种"
33925460,"include","include",NA
