pmid,doi,year,journal,title,abstract,pubtypes,authors,screening_reasons,screen_v2_reasons,screen_v3_reasons,screen_v3_reasons
40816225,10.1016/j.tranon.2025.102490,2025,Translational oncology,Exosomal gene signature in esophageal carcinoma: Insights from single-cell and bulk RNA sequencing.,"Esophageal squamous cell carcinoma (ESCA) remains a lethal disease with few reliable biomarkers for early diagnosis or treatment selection. In this study, we combined bulk RNA-seq (TCGA-ESCA, GSE53625) and single-cell RNA-seq (GSE196756) data to derive and characterize an exosome-related gene signature. Using LASSO-Cox regression on 121 literature-curated exosomal genes, we established a nine-gene risk model that stratified ESCA patients into high- and low-risk groups with significantly different overall survival. This signature was validated computationally in two independent bulk cohorts and shown to correlate with established clinical parameters. Functional assays for one model component, HAPLN3, confirmed its tumor-suppressive role: HAPLN3 overexpression inhibited ESCA cell proliferation and promoted apoptosis. To explore immunotherapy relevance, we analyzed anti-PD-L1 response in the IMvigor210 bladder cancer cohort-chosen because of shared squamous histology and PD-L1 pathways-to show that low-risk patients exhibited higher response rates and longer survival. Finally, single-cell analysis mapped each signature gene to specific tumor microenvironment compartments, and integrative genomic profiling linked risk scores to copy number variation and DNA methylation changes. Together, our findings define a functionally informed exosomal biomarker panel for ESCA prognosis and suggest its potential to guide immunotherapy, with further validation in ESCA-specific immunotherapy cohorts underway.Copyright © 2025. Published by Elsevier Inc.",Journal Article,Li H; Huang P; Wang Y; Zhang M; Gao D,,,strict_non_eligible,strict_non_eligible
39690336,10.1007/s12094-024-03832-7,2025,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,Predictive significance of MPT-driven necrosis-related genes signature in gastric cancer and their impact on the tumor microenvironment.,"Gastric cancer (GC) presents significant management challenges. MPT-driven necrosis (MPTDN) plays a significant role in various conditions, but its connection with GC is unclear. This study aimed to investigate the predictive significance of MPTDN-related genes (MPTDNRGs) in GC and their effect on the tumor immune microenvironment (TIME).RNA sequencing data for GC were sourced from TCGA and GEO databases. The mutation profiles and MPTDNRG expression between tumor and normal samples were assessed. Prognostic mRNAs were identified using univariate Cox regression and LASSO regression. GC patients were classified into high- and low-risk groups according to risk scores, followed by survival analysis and evaluation of correlations between MPTDN score and clinicopathological features, functional pathway, TIME, and responses to immunotherapy.MPTDNRGs exhibited a 64% mutation rate in GC, with 22 showing significant expression differences. Univariate Cox and LASSO regression identified 15 independently prognostic MPTDNRGs. The prognostic risk model stratified patients into two groups, revealing significant differences in overall and disease-free survival. A nomogram incorporating the signature and clinical characteristics showed strong specificity and sensitivity in predicting prognosis. The MPTDN score was significantly associated with clinical characteristics, functional pathways, and TIME. scRNA-seq analysis indicated higher MPTDN-signature expression in CD8 + T cells, malignant cells, and myofibroblasts. TIDE analysis suggested high-risk patients have reduced responses to immunotherapy, while low-risk patients could benefit more. Importantly, validation using urothelial carcinoma data confirmed a better prognosis for low-risk patients with immunotherapy.This study highlights the importance of MPTDN-related signatures in predicting GC prognosis and guiding therapeutic decisions.© 2024. The Author(s), under exclusive licence to Federación de Sociedades Españolas de Oncología (FESEO).",Journal Article,Huang S; Huang L; Jiang Q; Jiang C; Guo G,,,strict_non_eligible,strict_non_eligible
38306023,10.3233/CBM-230216,2024,Cancer biomarkers : section A of Disease markers,A risk model based on lncRNA-miRNA-mRNA gene signature for predicting prognosis of patients with bladder cancer.,"We aimed to analyze lncRNAs, miRNAs, and mRNA expression profiles of bladder cancer (BC) patients, thereby establishing a gene signature-based risk model for predicting prognosis of patients with BC.We downloaded the expression data of lncRNAs, miRNAs and mRNA from The Cancer Genome Atlas (TCGA) as training cohort including 19 healthy control samples and 401 BC samples. The differentially expressed RNAs (DERs) were screened using limma package, and the competing endogenous RNAs (ceRNA) regulatory network was constructed and visualized by the cytoscape. Candidate DERs were screened to construct the risk score model and nomogram for predicting the overall survival (OS) time and prognosis of BC patients. The prognostic value was verified using a validation cohort in GSE13507.Based on 13 selected. lncRNAs, miRNAs and mRNA screened using L1-penalized algorithm, BC patients were classified into two groups: high-risk group (including 201 patients ) and low risk group (including 200 patients). The high-risk group's OS time ( hazard ratio [HR], 2.160; 95% CI, 1.586 to 2.942; P= 5.678e-07) was poorer than that of low-risk groups' (HR, 1.675; 95% CI, 1.037 to 2.713; P= 3.393 e-02) in the training cohort. The area under curve (AUC) for training and validation datasets were 0.852. Younger patients (age ⩽ 60 years) had an improved OS than the patients with advanced age (age > 60 years) (HR 1.033, 95% CI 1.017 to 1.049; p= 2.544E-05). We built a predictive model based on the TCGA cohort by using nomograms, including clinicopathological factors such as age, recurrence rate, and prognostic score.The risk model based on 13 DERs patterns could well predict the prognosis for patients with BC.",Journal Article,Zhao ZY; Cao Y; Wang HL; Liu LY,,,strict_non_eligible,strict_non_eligible
36454396,10.1007/s12672-022-00596-w,2022,Discover oncology,Identification and validation of a novel cuproptosis-related lncRNA gene signature to predict prognosis and immune response in bladder cancer.,"Bladder cancer (BCa) is one of the most common malignant tumors in the urogenital system, characterized by the high recurrence rate, mortality rate and poor prognosis. Based on cuproptosis-related long noncoding RNAs (CRLs), this study set out to create a prediction signature to evaluate the prognosis of patients with BCa.RNA-seq data including CRLs and related clinicopathological data were gathered from The Cancer Genome Atlas (TCGA) database (n = 428). The predictive signature was constructed after correlation analysis. Subsequently, relying on the analyzed data from the TCGA database and our sample collection, we examined and verified the connections between CRLs model and important indexes included prognosis, route and functional enrichment, tumor immune evasion, tumor mutation, and treatment sensitivity.Patients in the high-risk group had lower overall survival (OS) than that of low-risk group. Compared with clinicopathological variables, CRLs features have better predictive value according to receiver operating characteristic (ROC) curve. The expression level of CRLs was highly associated with the tumor progress, tumor microenvironment and tumor immune escape. Additionally, we identified that the mutation of TP53, TTN, KMT2D and MUC16 gene were founded in patients with BCa. Lapatinib, pazopanib, saracatinib, gemcitabine, paclitaxel and palenolactone had good antitumor effects for BCa patients in the high-risk group (all P < 0.001).This study revealed the effects of CRLs on BCa and further established CRLs model, which can be used in clinic for predicting prognosis, immunological response and treatment sensitivity inpatient with BCa.© 2022. The Author(s).",Journal Article,Chen J; Guan Y; Li C; Du H; Liang C,,,strict_non_eligible,strict_non_eligible
36300085,10.3389/fonc.2022.1018285,2022,Frontiers in oncology,"Identification of a dysregulated CircRNA-associated gene signature for predicting prognosis, immune landscape, and drug candidates in bladder cancer.","Increasing evidences have demonstrated that circular RNA (circRNAs) plays a an essential regulatory role in initiation, progression and immunotherapy resistance of various cancers. However, circRNAs have rarely been studied in bladder cancer (BCa). The purpose of this research is to explore new circRNAs and their potential mechanisms in BCa. A novel ceRNA-regulated network, including 87 differentially expressed circRNAs (DE-circRNAs), 126 DE-miRNAs, and 217 DE-mRNAs was constructed to better understanding the biological processes using Cytoscape 3.7.1 based on our previously high-throughput circRNA sequencing and five GEO datasets. Subsequently, five randomly selected circRNAs (upregulated circ_0001681; downregulated circ_0000643, circ_0001798, circ_0006117 and circ_0067900) in 20 pairs of BCa and paracancerous tissues were confirmed using qRT-PCR. Functional analysis results determined that 772 GO functions and 32 KEGG pathways were enriched in the ceRNA network. Ten genes (PFKFB4, EDNRA, GSN, GAS1, PAPPA, DTL, TGFBI, PRSS8, RGS1 and TCF4) were selected for signature construction among the ceRNA network. The Human Protein Atlas (HPA) expression of these genes were consistent with the above sequencing data. Notably, the model was validated in multiple external datasets (GSE13507, GSE31684, GSE48075, IMvigor210 and GSE32894). The immune-infiltration was evaluated by 7 published algorithms (i.e., TIMER, CIBERSORT, CIBERSORT-ABS, QUANTISEQ, MCPCOUNTER, XCELL and EPIC). Next, Correlations between riskscore or risk groups and clinicopathological data, overall survival, recognized immunoregulatory cells or common chemotherapeutic agents of BCa patients were performed using wilcox rank test, chi-square test, cox regression and spearman's correlation analysis; and, these results are significant. According to R package ""GSVA"" and ""clusterProfiler"", the most significantly enriched HALLMARK and KEGG pathway was separately the 'Epithelial Mesenchymal Transition' and 'Ecm Receptor Interaction' in the high- vs. low-risk group. Additionally, the functional experiments in vitro also revealed that the overexpression of has_circ_0067900 significantly impaired the proliferation, migration, and invasion capacities of BCa cells. Collectively, the results of the current study provide a novel landscape of circRNA-associated ceRNA-regulated network in BCa. The ceRNA-associated gene model which was constructed presented a high predictive performance for the prognosis, immunotherapeutic responsiveness, and chemotherapeutic sensitivity of BCa. And, has_circ_0067900 was originally proposed as tumor suppressor for patients with BCa.Copyright © 2022 Shen, Li, Zhang, Zhang, Wu, Da, Yang, Wang, Zhang, Qie, Zhao, Lin, Huang, Zhou and Hu.",Journal Article,Shen C; Li Z; Zhang Y; Zhang Z; Wu Z; Da L; Yang S; Wang Z; Zhang Y; Qie Y,,,strict_non_eligible,strict_non_eligible
35243106,10.1016/j.heliyon.2022.e08994,2022,Heliyon,Immunological significance of alternative splicing prognostic signatures for bladder cancer.,"Bladder cancer (BLCA) is the most common malignant tumor in the genitourinary system, and the complex tumor microenvironment (TME) of BLCA is the main factor in its difficult treatment. Accumulated evidence supports that alternative splicing (AS) events frequently occur in cancer and are closely related to the TME. Therefore, there is an urgent need to comprehensively analyze the prognostic value of AS events in BLCA.The clinical, transcriptome and AS data of BLCA were downloaded from the Cancer Genome Atlas database, and a Cox proportional hazard regression model and LASSO regression were used to establish a prognostic signature. Then, the prognostic value of the signature was verified by clinical survival status, clinicopathologic features, tumor immune microenvironment (TIME), and immune checkpoint. Next, we screened the AS-related genes with the largest expression differences between tumor and normal samples by gene differential expression analysis. Finally, the regulatory network of AS-splicing factors (SFs) was established to unravel the potential regulatory mechanism of AS events in BLCA.A BLCA prognostic signature related to seven AS events was constructed, and the prognostic value of the signature was also verified from multiple perspectives. Moreover, there was significant abnormal expression of PTGER3, a gene implicated in AS events, the expression of which was associated with the survival, clinicopathological features, TIME, and immunotherapy of BLCA, suggesting that it has potential clinical application value. Furthermore, the AS-SF regulatory network indicated that splicing factors (PRPF39, LUC7L, HSPA8 and DDX21) might be potential biomarkers of BLCA.Our study revealed the potential role of AS events in the prognosis, TIME and immunotherapy of BLCA and yielded new insights into the molecular mechanisms of and personalized immunotherapy for BLCA.© 2022 The Author(s).",Journal Article,Li X; Yang L; Huang W; Jia B; Lai Y,,,strict_non_eligible,strict_non_eligible
33096258,10.1016/j.ygeno.2020.10.022,2021,Genomics,An 18-gene signature based on glucose metabolism and DNA methylation improves prognostic prediction for urinary bladder cancer.,"Glucose metabolism and DNA methylation play important roles in cancers. We aimed to identify glucose metabolism-related genes that were DNA methylation associated to establish a prognostic signature of bladder cancer (BLCA).With BLCA sample transcriptome data from The Cancer Genome Atlas (TCGA) and methylation data from TCGA 450 K microarray, glucose metabolism-related genes associated to prognosis and DNA methylation were identified and a prognostic signature was established. GSEA and WGCNA analysis were performed and two genes, UCHL1 and PYCR1, were selected for functional validations.18 target genes were identified and the signature based on them was considered an effective and independent prognostic factor. Several pathways were enriched in the high-risk group by GSEA and three modules of genes were identified by WGCNA. UCHL1 and PYCR1 proliferated proliferation, migration and invasion ability of bladder cancer cells.The 18-gene signature is an independent prognostic factor for bladder cancer patients.Copyright © 2020 Elsevier Inc. All rights reserved.","Journal Article; Research Support, Non-U.S. Gov't",Liu Z; Sun T; Zhang Z; Bi J; Kong C,,,strict_non_eligible,strict_non_eligible
30642841,10.1158/1055-9965.EPI-18-0936,2019,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",Serum Metabolic Profiling Identified a Distinct Metabolic Signature in Bladder Cancer Smokers: A Key Metabolic Enzyme Associated with Patient Survival.,"The current system to predict the outcome of smokers with bladder cancer is insufficient due to complex genomic and transcriptomic heterogeneities. This study aims to identify serum metabolite-associated genes related to survival in this population.We performed LC/MS-based targeted metabolomic analysis for >300 metabolites in serum obtained from two independent cohorts of bladder cancer never smokers, smokers, healthy smokers, and healthy never smokers. A subset of differential metabolites was validated using Biocrates absoluteIDQ p180 Kit. Genes associated with differential metabolites were integrated with a publicly available cohort of The Cancer Genome Atlas (TCGA) to obtain an intersecting signature specific for bladder cancer smokers.Forty metabolites (FDR < 0.25) were identified to be differential between bladder cancer never smokers and smokers. Increased abundance of amino acids (tyrosine, phenylalanine, proline, serine, valine, isoleucine, glycine, and asparagine) and taurine were observed in bladder cancer smokers. Integration of differential metabolomic gene signature and transcriptomics data from TCGA cohort revealed an intersection of 17 genes that showed significant correlation with patient survival in bladder cancer smokers. Importantly, catechol-O-methyltransferase, iodotyrosine deiodinase, and tubulin tyrosine ligase showed a significant association with patient survival in publicly available bladder cancer smoker datasets and did not have any clinical association in never smokers.Serum metabolic profiling of bladder cancer smokers revealed dysregulated amino acid metabolism. It provides a distinct gene signature that shows a prognostic value in predicting bladder cancer smoker survival.Serum metabolic signature-derived genes act as a predictive tool for studying the bladder cancer progression in smokers.©2019 American Association for Cancer Research.","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Amara CS; Ambati CR; Vantaku V; Badrajee Piyarathna DW; Donepudi SR; Ravi SS; Arnold JM; Putluri V; Chatta G; Guru KA,,,strict_non_eligible,strict_non_eligible
29729848,10.1016/j.ebiom.2018.04.019,2018,EBioMedicine,Development and Validation of a 28-gene Hypoxia-related Prognostic Signature for Localized Prostate Cancer.,"Hypoxia is associated with a poor prognosis in prostate cancer. This work aimed to derive and validate a hypoxia-related mRNA signature for localized prostate cancer.Hypoxia genes were identified in vitro via RNA-sequencing and combined with in vivo gene co-expression analysis to generate a signature. The signature was independently validated in eleven prostate cancer cohorts and a bladder cancer phase III randomized trial of radiotherapy alone or with carbogen and nicotinamide (CON).A 28-gene signature was derived. Patients with high signature scores had poorer biochemical recurrence free survivals in six of eight independent cohorts of prostatectomy-treated patients (Log rank test P < .05), with borderline significances achieved in the other two (P < .1). The signature also predicted biochemical recurrence in patients receiving post-prostatectomy radiotherapy (n = 130, P = .007) or definitive radiotherapy alone (n = 248, P = .035). Lastly, the signature predicted metastasis events in a pooled cohort (n = 631, P = .002). Prognostic significance remained after adjusting for clinic-pathological factors and commercially available prognostic signatures. The signature predicted benefit from hypoxia-modifying therapy in bladder cancer patients (intervention-by-signature interaction test P = .0026), where carbogen and nicotinamide was associated with improved survival only in hypoxic tumours.A 28-gene hypoxia signature has strong and independent prognostic value for prostate cancer patients.Copyright © 2018. Published by Elsevier B.V.","Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial; Validation Study",Yang L; Roberts D; Takhar M; Erho N; Bibby BAS; Thiruthaneeswaran N; Bhandari V; Cheng WC; Haider S; McCorry AMB,,,strict_non_eligible,strict_non_eligible
30048970,10.1159/000492094,2018,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",Prognostic Signature of Alternative Splicing Events in Bladder Urothelial Carcinoma Based on Spliceseq Data from 317 Cases.,"Increasing evidences indicated the important roles of alternative splicing in the progression and prognosis of bladder urothelial carcinoma (BLCA). However, most previous research has focused on one or several alternative splicing events, without a comprehensive evaluation of the prognostic value of splicing events in BLCA. In this study, we aimed to determine risk scores for predicting prognosis of BLCA patients based on splicing events.RNA-sequencing data and clinical information of BLCA patients were downloaded from The Cancer Genome Atlas, and data of splicing events were obtained from the SpliceSeq database. Univariate and multivariate Cox regression analyses were employed to identify survival-associated alternative spicing events (SASEs) and to calculate risk scores. Protein-protein interaction analysis of genes of the SASEs was performed using STRING, a database of known and predicted protein-protein interactions, and pathway enrichment analysis of the genes was implemented using the Database for Annotation, Visualization and Integrated Discovery (version 6.8). Receiver operating characteristic (ROC) curves and Kaplan-Meier analysis were used to evaluate the clinical significance of genes from the SASEs for building a risk score in BLCA. Correlation between splicing events of splicing factors and non-splicing factors were analyzed with Pearson correlation coefficient. A potential regulatory network was then built using Cytoscape 3.5.In total, 39,508 alternative splicing events in 317 patients with BLCA were analyzed, including 4,632 SASEs. The area under the curve of the ROC of risk score (all) was 0.748 for predicting survival status of BLCA patients. Low- and high-risk score groups classified using the median ""risk score (all)"" value displayed remarkably different survival time (Low vs. High = 3304.841±239.758 vs 1198.614±152.460 days). The potential regulatory network with SASEs of splicing factors and other genes was constructed, which might be part of the biological mechanisms associated with prognosis of BLCA patients.In this study, prognostic signatures constructed using splicing events could be used for predicting the prognosis of BLCA patients.© 2018 The Author(s). Published by S. Karger AG, Basel.",Journal Article,He RQ; Zhou XG; Yi QY; Deng CW; Gao JM; Chen G; Wang QY,,,strict_non_eligible,strict_non_eligible
