pmid,doi,pmcid,in_pmc,in_epmc,open_access,fulltext_urls,supplementary_urls,supplementary_count
42030617,10.1016/j.compbiolchem.2026.109071,,N,N,N,https://doi.org/10.1016/j.compbiolchem.2026.109071:Subscription required,,0
42493447,,,N,N,N,,,0
42576531,10.2174/0109298673470246260702000813,,N,N,N,https://doi.org/10.2174/0109298673470246260702000813:Subscription required,,0
42500328,10.34133/csbj.0139,,N,N,N,https://doi.org/10.34133/csbj.0139:Subscription required,,0
42482080,10.1186/s12967-026-08681-2,,N,N,N,https://doi.org/10.1186/s12967-026-08681-2:Subscription required,,0
42436798,10.21037/tau-2026-1-0147,,N,N,N,https://doi.org/10.21037/tau-2026-1-0147:Subscription required,,0
42421957,10.3389/fimmu.2026.1846096,,N,N,N,https://doi.org/10.3389/fimmu.2026.1846096:Subscription required,,0
42215586,10.1038/s41598-026-55438-4,,N,N,N,https://doi.org/10.1038/s41598-026-55438-4:Subscription required,,0
42244509,10.62347/rkhd2558,PMC13231244,Y,Y,N,https://doi.org/10.62347/RKHD2558:Subscription required | https://europepmc.org/articles/PMC13231244:Free | https://europepmc.org/articles/PMC13231244?pdf=render:Free | https://doi.org/10.62347/rkhd2558:Free,,0
42059994,10.1007/s12672-026-05111-z,PMC13272733,Y,Y,Y,https://doi.org/10.1007/s12672-026-05111-z:Subscription required | https://europepmc.org/articles/PMC13272733:Open access | https://europepmc.org/articles/PMC13272733?pdf=render:Open access,,0
41992284,10.1186/s13062-026-00785-5,PMC13214285,Y,Y,Y,https://doi.org/10.1186/s13062-026-00785-5:Subscription required | https://europepmc.org/articles/PMC13214285:Open access | https://europepmc.org/articles/PMC13214285?pdf=render:Open access,,0
41981124,10.1038/s41698-026-01417-x,PMC13269820,Y,Y,Y,https://doi.org/10.1038/s41698-026-01417-x:Subscription required | https://europepmc.org/articles/PMC13269820:Open access | https://europepmc.org/articles/PMC13269820?pdf=render:Open access,,0
42052292,10.3389/fbioe.2026.1773551,PMC13111456,Y,Y,Y,https://doi.org/10.3389/fbioe.2026.1773551:Subscription required | https://europepmc.org/articles/PMC13111456:Open access | https://europepmc.org/articles/PMC13111456?pdf=render:Open access,,0
41870815,10.1007/s12672-026-04851-2,PMC13133299,Y,Y,Y,https://doi.org/10.1007/s12672-026-04851-2:Subscription required | https://europepmc.org/articles/PMC13133299:Open access | https://europepmc.org/articles/PMC13133299?pdf=render:Open access,,0
41862905,10.1186/s12967-026-08010-7,PMC13126897,Y,Y,Y,https://doi.org/10.1186/s12967-026-08010-7:Subscription required | https://europepmc.org/articles/PMC13126897:Open access | https://europepmc.org/articles/PMC13126897?pdf=render:Open access,,0
41971137,10.21037/tau-2025-aw-780,PMC13062870,Y,Y,Y,https://doi.org/10.21037/tau-2025-aw-780:Subscription required | https://europepmc.org/articles/PMC13062870:Open access | https://europepmc.org/articles/PMC13062870?pdf=render:Open access,,0
41809788,10.21037/tau-2025-710,PMC12968909,Y,Y,Y,https://doi.org/10.21037/tau-2025-710:Subscription required | https://europepmc.org/articles/PMC12968909:Open access | https://europepmc.org/articles/PMC12968909?pdf=render:Open access,,0
41809777,10.21037/tau-2025-1-970,PMC12968932,Y,Y,Y,https://doi.org/10.21037/tau-2025-1-970:Subscription required | https://europepmc.org/articles/PMC12968932:Open access | https://europepmc.org/articles/PMC12968932?pdf=render:Open access,,0
41836241,10.3389/fonc.2026.1754912,PMC12982074,Y,Y,Y,https://doi.org/10.3389/fonc.2026.1754912:Subscription required | https://europepmc.org/articles/PMC12982074:Open access | https://europepmc.org/articles/PMC12982074?pdf=render:Open access,,0
41689016,10.1186/s12906-026-05279-5,PMC13005377,Y,Y,Y,https://doi.org/10.1186/s12906-026-05279-5:Subscription required | https://europepmc.org/articles/PMC13005377:Open access | https://europepmc.org/articles/PMC13005377?pdf=render:Open access,,0
41582171,10.1186/s40246-026-00918-x,PMC12914921,Y,Y,Y,https://doi.org/10.1186/s40246-026-00918-x:Subscription required | https://europepmc.org/articles/PMC12914921:Open access | https://europepmc.org/articles/PMC12914921?pdf=render:Open access,,0
41533176,10.1007/s12672-026-04440-3,PMC12891303,Y,Y,Y,https://doi.org/10.1007/s12672-026-04440-3:Subscription required | https://europepmc.org/articles/PMC12891303:Open access | https://europepmc.org/articles/PMC12891303?pdf=render:Open access,,0
41584451,10.3389/fmolb.2025.1716130,PMC12824457,Y,Y,Y,https://doi.org/10.3389/fmolb.2025.1716130:Subscription required | https://europepmc.org/articles/PMC12824457:Open access | https://europepmc.org/articles/PMC12824457?pdf=render:Open access,,0
41507856,10.1186/s12894-026-02046-z,PMC12882559,Y,Y,Y,https://doi.org/10.1186/s12894-026-02046-z:Subscription required | https://europepmc.org/articles/PMC12882559:Open access | https://europepmc.org/articles/PMC12882559?pdf=render:Open access,,0
42159275,10.1177/18758592261449024,PMC13191138,Y,Y,Y,https://doi.org/10.1177/18758592261449024:Subscription required | https://europepmc.org/articles/PMC13191138:Open access | https://europepmc.org/articles/PMC13191138?pdf=render:Open access,,0
41505248,10.1002/cam4.71477,PMC12782153,Y,Y,Y,https://doi.org/10.1002/cam4.71477:Subscription required | https://europepmc.org/articles/PMC12782153:Open access | https://europepmc.org/articles/PMC12782153?pdf=render:Open access,,0
41337795,10.1016/j.cyto.2025.157084,,N,N,N,https://doi.org/10.1016/j.cyto.2025.157084:Subscription required,,0
40994220,10.1002/mc.70042,,N,N,N,https://doi.org/10.1002/mc.70042:Subscription required,,0
41357226,10.3389/fimmu.2025.1607222,PMC12675356,Y,Y,Y,https://doi.org/10.3389/fimmu.2025.1607222:Subscription required | https://europepmc.org/articles/PMC12675356:Open access | https://europepmc.org/articles/PMC12675356?pdf=render:Open access,,0
41252049,10.1007/s12672-025-03927-9,PMC12627312,Y,Y,Y,https://doi.org/10.1007/s12672-025-03927-9:Subscription required | https://europepmc.org/articles/PMC12627312:Open access | https://europepmc.org/articles/PMC12627312?pdf=render:Open access,,0
41216727,10.1080/10255842.2025.2585143,,N,N,N,https://doi.org/10.1080/10255842.2025.2585143:Subscription required,,0
41198839,10.1038/s41598-025-22803-8,PMC12592699,Y,Y,Y,https://doi.org/10.1038/s41598-025-22803-8:Subscription required | https://europepmc.org/articles/PMC12592699:Open access | https://europepmc.org/articles/PMC12592699?pdf=render:Open access,,0
40816225,10.1016/j.tranon.2025.102490,PMC12392321,Y,Y,Y,https://doi.org/10.1016/j.tranon.2025.102490:Subscription required | https://europepmc.org/articles/PMC12392321:Open access | https://europepmc.org/articles/PMC12392321?pdf=render:Open access,,0
40918470,10.32604/or.2025.064331,PMC12408864,Y,Y,Y,https://doi.org/10.32604/or.2025.064331:Subscription required | https://europepmc.org/articles/PMC12408864:Open access | https://europepmc.org/articles/PMC12408864?pdf=render:Open access,,0
40779729,10.1200/cci-25-00019,PMC12360192,Y,Y,Y,https://doi.org/10.1200/CCI-25-00019:Subscription required | https://europepmc.org/articles/PMC12360192:Open access | https://europepmc.org/articles/PMC12360192?pdf=render:Open access,,0
40735323,10.3389/fimmu.2025.1585727,PMC12303948,Y,Y,Y,https://doi.org/10.3389/fimmu.2025.1585727:Subscription required | https://europepmc.org/articles/PMC12303948:Open access | https://europepmc.org/articles/PMC12303948?pdf=render:Open access,,0
39690336,10.1007/s12094-024-03832-7,,N,N,N,https://doi.org/10.1007/s12094-024-03832-7:Subscription required,,0
