pmid,doi,pmcid,in_pmc,in_epmc,open_access,fulltext_urls,supplementary_urls,supplementary_count,error
30642841,10.1158/1055-9965.epi-18-0936,PMC6449217,Y,Y,N,https://cebp.aacrjournals.org/content/cebp/28/4/770.full.pdf:Free | https://doi.org/10.1158/1055-9965.EPI-18-0936:Subscription required | https://europepmc.org/articles/PMC6449217:Free | https://europepmc.org/articles/PMC6449217?pdf=render:Free | https://doi.org/10.1158/1055-9965.epi-18-0936:Free,,0,
30846479,10.1158/1078-0432.ccr-18-1515,PMC6571061,Y,Y,N,https://doi.org/10.1158/1078-0432.CCR-18-1515:Subscription required | https://europepmc.org/articles/PMC6571061:Free | https://europepmc.org/articles/PMC6571061?pdf=render:Free | https://doi.org/10.1158/1078-0432.ccr-18-1515:Free,,0,
32165065,10.1016/j.eururo.2020.02.028,,N,N,N,https://doi.org/10.1016/j.eururo.2020.02.028:Subscription required,,0,
32695477,10.1038/s41420-020-00295-x,PMC7359373,Y,Y,Y,https://www.nature.com/articles/s41420-020-00295-x.pdf:Open access | https://doi.org/10.1038/s41420-020-00295-x:Subscription required | https://europepmc.org/articles/PMC7359373:Open access | https://europepmc.org/articles/PMC7359373?pdf=render:Open access,,0,
32929335,10.7150/thno.48711,PMC7481430,Y,Y,Y,https://doi.org/10.7150/thno.48711:Subscription required | https://europepmc.org/articles/PMC7481430:Open access | https://europepmc.org/articles/PMC7481430?pdf=render:Open access,,0,
33096258,10.1016/j.ygeno.2020.10.022,,N,N,N,https://doi.org/10.1016/j.ygeno.2020.10.022:Subscription required,,0,
33208770,10.1038/s41598-020-76904-7,PMC7675970,Y,Y,Y,https://www.nature.com/articles/s41598-020-76904-7.pdf:Open access | https://doi.org/10.1038/s41598-020-76904-7:Subscription required | https://europepmc.org/articles/PMC7675970:Open access | https://europepmc.org/articles/PMC7675970?pdf=render:Open access,,0,
33392066,10.3389/fonc.2020.542492,PMC7773013,Y,Y,Y,https://doi.org/10.3389/fonc.2020.542492:Subscription required | https://europepmc.org/articles/PMC7773013:Open access | https://europepmc.org/articles/PMC7773013?pdf=render:Open access,,0,
33837006,10.1158/1078-0432.ccr-20-4574,PMC8338756,Y,Y,N,https://aacrjournals.org/clincancerres/article-pdf/27/15/4287/3092037/4287.pdf:Free | https://doi.org/10.1158/1078-0432.CCR-20-4574:Subscription required | https://europepmc.org/articles/PMC8338756:Free | https://europepmc.org/articles/PMC8338756?pdf=render:Free | https://doi.org/10.1158/1078-0432.ccr-20-4574:Free,,0,
33985530,10.1186/s12967-021-02865-8,PMC8117567,Y,Y,Y,https://translational-medicine.biomedcentral.com/counter/pdf/10.1186/s12967-021-02865-8:Open access | https://doi.org/10.1186/s12967-021-02865-8:Subscription required | https://europepmc.org/articles/PMC8117567:Open access | https://europepmc.org/articles/PMC8117567?pdf=render:Open access,,0,
34329197,10.18632/aging.203333,PMC8386543,Y,Y,Y,https://doi.org/10.18632/aging.203333:Open access | https://doi.org/10.18632/aging.203333:Subscription required | https://europepmc.org/articles/PMC8386543:Open access | https://europepmc.org/articles/PMC8386543?pdf=render:Open access,,0,
34512654,10.3389/fimmu.2021.724541,PMC8427805,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fimmu.2021.724541/pdf:Open access | https://doi.org/10.3389/fimmu.2021.724541:Subscription required | https://europepmc.org/articles/PMC8427805:Open access | https://europepmc.org/articles/PMC8427805?pdf=render:Open access,,0,
34521394,10.1186/s12894-021-00880-x,PMC8439049,Y,Y,Y,https://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-021-00880-x:Open access | https://doi.org/10.1186/s12894-021-00880-x:Subscription required | https://europepmc.org/articles/PMC8439049:Open access | https://europepmc.org/articles/PMC8439049?pdf=render:Open access,,0,
