pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext
30642841,PMC6449217,Serum Metabolic Profiling Identified a Distinct Metabolic Signature in Bladder Cancer Smokers: A Key Metabolic Enzyme Associated with Patient Survival.,2019,extracted,high,fulltext,3,COMT|IYD|TTL,"Importantly, a set of these gene signatures especially COMT, IYD, and TTL in BLCA smokers may play an important role in BLCA tumor progression, and this could provide potential prognostic value and future targets for therapeutic intervention.Supplementary Material123456AcknowledgmentsThis research was fully supported by NIH/NCI R01CA220297 (N.P), and NIH/NCI R01CA216426 (N.P.) and American Cancer Society (ACS) Award 127430-RSG-15–105-01-CNE (N.P.), partially supported by the following grants: NI",Y
30846479,PMC6571061,Multi-omics Integration Analysis Robustly Predicts High-Grade Patient Survival and Identifies CPT1B Effect on Fatty Acid Metabolism in Bladder Cancer.,2019,extracted,high,fulltext_window,6,PLA2G4C|LIPG|PIGS|PIGU|ATP8B2|ATP8B4," univariate and multivariate Cox proportional hazard regression models using the Kim, Lindgren, Sjodahl, TCGA data sets to assess the associations between the 27 gene signature and the time-to-death. Using multiivariate models, we tested the 27 gene signature (top 50% vs. bottom 50%) (Supplementary Table S6A–D) while controlling for sex, age, and tumor stage. Univariate Cox proportional hazard regression analysis showed that the gene signature was significantly associated with risk of death, wit",Y
32165065,,Impact of Molecular Subtyping and Immune Infiltration on Pathological Response and Outcome Following Neoadjuvant Pembrolizumab in Muscle-invasive Bladder Cancer.,2020,excluded,missing,none,0,,no extractable new gene list; evaluated existing molecular signatures,N
32695477,PMC7359373,The prognostic value of six survival-related genes in bladder cancer.,2020,extracted,high,abstract_window,6,EMP1|TPM1|NRP2|FGFR1|CAVIN1|LATS2,n of tumor-paracancerous DEGs genes and paracancerous-normal DEGs genes. The survival-related genes were screened by Kaplan-Meier (KM) survival analysis and univariable Cox regression with the cutoff criteria of KM < 0.05 and cox p-value < 0.05. The risk model was developed using Lasso regression. The clinical data were analyzed by univariate and multivariate Cox regression analysis. Gene Ontology (GO) and KEGG enrichment analysis were performed in the DEGs genes between the high-risk and low-ri,Y
32929335,PMC7481430,Identification of glycogene-type and validation of ST3GAL6 as a biomarker predicts clinical outcome and cancer cell invasion in urinary bladder cancer.,2020,extracted,high,abstract_window,4,UBC|MAL|ST3GAL6|GATA3,"come need to be investigated. Methods: A systematic transcriptomic analysis of 185 glycogenes in the public UBC datasets with survival information and clinicopathological parameters were performed using unsupervised hierarchical clustering. The gene signature for glycogene-type classification was identified using Limma package in R language, and correlated to 8 known molecular features by Gene Set Variation Analysis (GSVA). The clinical relevance and function of a glycogene was characterized by ",Y
33096258,,An 18-gene signature based on glucose metabolism and DNA methylation improves prognostic prediction for urinary bladder cancer.,2021,excluded,missing,none,0,,18-gene list not provided in accessible abstract/full text,N
33208770,PMC7675970,Transcriptomic analysis of micropapillary high grade T1 urothelial bladder cancer.,2020,extracted,high,abstract_window,3,CD36|FABP3|RAET1E,"lan-Meier methods were used to assess the relation between time to progression (TTP) and individual gene expression adjusting for clinical covariates. Over 3000 genes were differentially expressed in MPBC-HGT1 as compared with cUC-HGT1 and a 26-gene signature is characteristic of MPBC within HGT1. A set of three genes; CD36, FAPB3 and RAETE1; were significantly associated with TTP. High expression of FABP3 and CD36 were associated with shorter TTP (p = 0.045 and p = 0.08) as was low expression o",Y
33392066,PMC7773013,Dysregulation of the Immune Microenvironment Contributes to Malignant Progression and Has Prognostic Value in Bladder Cancer.,2020,extracted,high,fulltext_window,5,CD109|CD96|HNMT|MMP9|NFKBIZ,"OS. (B) Nomogram for predicting the probability of 1-, 3-, and 5-year OS. (C–E) Calibration plots of the nomogram for predicting the probability of 1-, 3-, and 5-year OS. (F, G) DCA of the nomogram predicting 1- and 3-year OS. IPS, immune prognostic signature; TCGA, The Cancer Genome Atlas; OS, overall survival; DCA, decision curves analyses; HR, hazard ratio; CI, confidence interval.Validation of 14 OS-Associated mmune GenesThe RNA-sequence data of BLCA samples from our center were used to vali",Y
33837006,PMC8338756,Myeloid Cell-associated Resistance to PD-1/PD-L1 Blockade in Urothelial Cancer Revealed Through Bulk and Single-cell RNA Sequencing.,2021,extracted,high,fulltext_window,4,ARID1A|CXCL13|TGFB1|CXCL8,"d).3 This cohort has been previously described, with further detail provided in Table S1; RNA sequencing and TMB data were available for 72 and 139 patients, respectively.3 The adaptive immune response, pro-tumorigenic inflammation, and stromal gene signatures demonstrated similar associations with OS, progression free survival (PFS) and response rate in the Checkmate 275 cohort (Table S5). As observed in the IMvigor 210 cohort, the 2IR score in the Checkmate 275 cohort demonstrated the largest ",Y
33985530,PMC8117567,Metabolic classification of bladder cancer based on multi-omics integrated analysis to predict patient prognosis and treatment response.,2021,extracted,high,fulltext_window,3,RB1|E2F3|DDR2,"%, 8.48%, and 8.14% for RB1 (13q14.2), respectively. The amplification rates of oncogenes in the M1, M2, and M3 subtypes were 18.57%, 15.15%, and 13.95% for E2F3 (6p22.3), and were 15.71%, 8.48%, and 16.86% for DDR2 (1q23.3), respectively.Prognostic risk model based on characteristic genes of metabolic subtypes of bladder cancerAmong the 289 characteristic genes of the metabolic subtypes, random survival forest identified 39 genes with relative importance ≥ 0 as the final features, and univariat",Y
34329197,PMC8386543,Identification of immune-related genes that predict prognosis and risk of bladder cancer: bioinformatics analysis of TCGA database.,2021,extracted,high,abstract_window,11,ADIPOQ|PPY|NAMPT|TAP1|AHNAK|OLR1|PDGFRA|IL34|MMP9|RAC3|SH3BP2,"tively involved in tumor-related functions and pathways. Using multivariate Cox regression analysis, we detected 11 optimal IRGs (ADIPOQ, PPY, NAMPT, TAP1, AHNAK, OLR1, PDGFRA, IL34, MMP9, RAC3, and SH3BP2). We validated the prognostic value of this signature in two validation cohorts: GSE13507 (n = 165) and GSE32894 (n = 224). Furthermore, we performed a western blot and found that the expression of these IRGs matched their mRNA expression in TCGA. Moreover, correlations between risk score and ",Y
34512654,PMC8427805,Scoring System Based on RNA Modification Writer-Related Genes to Predict Overall Survival and Therapeutic Response in Bladder Cancer.,2021,extracted,high,fulltext_supp_table,10,IER3IP1|RPP21|ZSCAN16|FAM43A|LARP7|MAP1A|NSUN5|PRPF19|GALK1|TNFSF13B,Supplementary Table S9 lists the ten genes in the multivariable Cox model.,Y
34521394,PMC8439049,Cross-talk and clinical value of m[superscript 6]A regulatory gene in bladder cancer.,2021,extracted,high,fulltext_window,3,YTHDC1|FTO|WTAP,"arateristics. B Kaplan–Meier survival curves were generated from the comparison of cluster 1, cluster 2 and cluster 3 using the level of the bladder cancerThree m[superscript 6]A-related genes related to prognosis were used to construct a prognostic risk modelTo investigate the prognostic value of m[superscript 6]A RNA methylation regulatory gene in bladder cancer. Univariate Cox regression analysis was constructed with the TCGA data set (Fig. 6A). P < 0.1 as the reference standard, we found tha",Y
34901008,PMC8657403,Hypoxic Characteristic Genes Predict Response to Immunotherapy for Urothelial Carcinoma.,2021,extracted,high,fulltext,4,TKTL1|JMJD6|IRS2|ANXA2,"We constructed a hypoxia risk prognostic model based on four hypoxia-related genes (TKTL1, JMJD6, IRS2, ANXA2) through multivariate Cox regression analysis.",Y
35265613,PMC8899848,Identification and Quantification of Iron Metabolism Landscape on Therapy and Prognosis in Bladder Cancer.,2022,extracted,high,abstract,13,TCIRG1|CTSE|ATP6V0A1|CYP2C8|RNF19A|CYP4Z1|YPEL5|PLOD1|BMP6|CAST|SCD|IFNG|ASIC3,"Then we established the IMRG prognosis signature (IMRGscore) by the least absolute shrinkage and selection operator (LASSO), including 13 IMRGs (TCIRG1, CTSE, ATP6V0A1, CYP2C8, RNF19A, CYP4Z1, YPEL5, PLOD1, BMP6, CAST, SCD, IFNG, and ASIC3).",Y
35593896,,Epithelial-to-mesenchymal transition based diagnostic and prognostic signature markers in non-muscle invasive and muscle invasive bladder cancer patients.,2022,extracted,high,abstract_manual,7,CDH1|CDH2|SNAI1|SNAI2|TWIST1|ZEB1|VIM,EMT biomarkers named in the abstract and mapped to HGNC symbols.,Y
35669725,PMC9165618,A Multiomics Profiling Based on Online Database Revealed Prognostic Biomarkers of BLCA.,2022,extracted,high,abstract_window,10,CD4|CDH2|COL1A1|EIF2S2|PSMA3|NAA10|DNM1L|TUBA4A|KIF11|KIF23,"ere downloaded from The Cancer Genome Atlas (TCGA) database and GEO database (GSE13507). GSVA analysis converted the gene expression matrix to the gene set expression matrix. ""CancerSubtypes"" classified patients into three subtypes and established a prognostic model based on differentially expressed gene sets (DEGSs) among the three subtypes. For genes from prognosis-related DEGSs, functional and pathway enrichment analyses and PPI network analysis were carried out. The Human Protein Atlas (HPA)",Y
