pmid,doi,year,journal,title,abstract,pubtypes,authors,revision_screening_reasons
42371282,10.1007/s12672-026-05338-w,2026,Discover oncology,Targeting macrophage-associated core genes for prognostic prediction and therapeutic insights in bladder cancer.,"The study aims at investigating the function of macrophage-related genes (MRGs) within the bladder cancer immune microenvironment and exploring their potential value in prognosis prediction and therapeutic decision-making.This study integrated bladder cancer transcriptomic data from the TCGA and GEO databases along with single-cell RNA sequencing (scRNA-seq) data to systematically identify key MRGs. Differential expression analysis, weighted gene co-expression network analysis (WGCNA), and single-cell sequencing analysis served for screening for core MRGs. The results from LASSO Cox regression analysis were used for constructing a survival risk prediction model, together with the evaluation of the model's predictive accuracy. Besides, core MRGs were subjected to immune cell infiltration and drug sensitivity analyses for the elucidation of their roles in immune regulation and therapeutic response. Furthermore, key genes in the prognostic model were validated using PCR, Western blot, and immunohistochemistry.This study identified 11 core genes significantly associated with macrophages and developed a risk prediction model based on ANXA1, ST3GAL5, and VIM. The model demonstrated moderate predictive performance across all samples (AUC = 0.682), indicating potential utility for patient stratification. Immune analysis revealed that high-risk patients exhibited a distinctly immunosuppressive tumor microenvironment (TME), characterized by increased infiltration of M2 macrophages and neutrophils, along with a significant reduction in effector immune cells of CD8⁺ T cells and NK cells. Additionally, high-risk patients displayed greater sensitivity to targeted therapies but reduced sensitivity to conventional chemotherapy. According to in vitro and in vivo experiments, ST3GAL5 overexpression significantly promoted bladder cancer cell proliferation and tumor growth, underscoring its potential role in tumor progression.This study highlights the crucial impact of MRGs on the TME of bladder cancer and constructs a risk prediction model with moderate predictive performance that may assist in patient stratification, although further validation in independent cohorts is required.© 2026. The Author(s).",Journal Article,Liu H; Chu Y; Hou J; Wang Y; Li J; Qin J; Liang P; Liao G; Gu P; Liu X,single_gene_mechanistic
42279297,10.3390/cancers18111713,2026,Cancers,Abnormal Sialylation Promotes Chemotherapy Resistance in Bladder Cancer via the PI3K-AKT-mTOR Signaling Pathway.,"Aberrant glycosylation is closely associated with tumor progression, changes in the tumor microenvironment, and chemoresistance. This study aimed to identify prognostic sialylation-related genes in bladder cancer and define the role of ST3GAL6 in gemcitabine-cisplatin resistance.Molecular subtype analysis, prognostic analysis, and risk model construction were performed for sialylation-related genes using transcriptomic data and clinical information from the TCGA database. GC-resistant bladder cancer cell models were established for transcriptomic sequencing and untargeted metabolomic analysis. Cell proliferation and drug sensitivity assays were performed to evaluate the function of ST3GAL6. The regulatory relationship between IGF2BP3, ST3GAL6, and the PI3K pathway was further assessed by combining database analysis with molecular experiments.Sialylation-related molecular patterns were associated with patient prognosis and tumor microenvironment features, particularly fibroblast-related characteristics, in bladder cancer. The key model gene ST3GAL6 was upregulated in bladder cancer tissues and was closely associated with prognosis. In GC-resistant bladder cancer cells, ST3GAL6 expression was significantly increased and accompanied by enhanced sialylation activity. ST3GAL6 promoted bladder cancer cell proliferation and reduced sensitivity to cisplatin and gemcitabine, at least in part through the PI3K-AKT-mTOR pathway. IGF2BP3 was also upregulated in resistant cells, is positively correlated with ST3GAL6, and may help maintain ST3GAL6's expression by stabilizing its mRNA.Our findings suggest that aberrant sialylation is involved in bladder cancer progression and GC resistance. The IGF2BP3-ST3GAL6-PI3K/AKT/mTOR signaling axis may contribute to this process and may serve as a potential biomarker and therapeutic target in bladder cancer.",Journal Article,Zhu J; Wang A; Tong H; Sun Y; Li T; Wu L; Zhang X; Qin Z; He W,single_gene_mechanistic
42002631,10.1007/s00345-026-06406-0,2026,World journal of urology,A molecular landscape tracking the progression of non-muscle invasive bladder cancer.,"We aim to report transcriptomic biomarkers derived from available open-access studies that can reliably monitor the progression of bladder tumors from non-invasive (non-muscle-invasive bladder cancer, NMIBC) to invasive stages (muscle-invasive bladder cancer, MIBC) of bladder cancer, as well as within the different stages of NMIBC. These biomarkers hold exciting potential for use in clinical settings, offering valuable insights for both diagnosis and prognosis.A comprehensive literature review on bladder cancer studies was conducted in primary bibliographic databases, selecting gene expression studies that illustrate bladder tumor progression, either alone or within gene-set datasets.A plethora of dysregulated gene expression signatures guide the evolution of bladder cancer through its progressive forms and predict the oncological outcomes for cancer patients. The oncotarget genes and abnormalities in the mitotic spindle play a significant role in promoting tumor development and progression. At the cellular level, substantial tumor morphological changes in the urothelium and extracellular matrix support this process.The molecular snapshot of biomarkers reflects the heterogeneity of bladder tumors during their progression. Despite this relevance, none of these biomarkers has yet been implemented in the clinical management of bladder cancer. However, this evidence supports their potential future clinical utility for stratifying bladder cancer patients and aiding the development of targeted drug therapies.The online version contains supplementary material available at 10.1007/s00345-026-06406-0.",Journal Article; Review,Cesta G; Zolfanelli C; Lauciello V; Lorusso V; Di Giacomo F; Mazzone P; D'Amore T; Di Paola G; Bravoco D; Falco G,publication_type; not_signature_model
42079608,10.3389/fimmu.2026.1763443,2026,Frontiers in immunology,Identification of a migrasome-related lncRNA signature and its prognostic and immunological role in bladder cancer.,"Bladder cancer (BLCA) is a highly heterogeneous malignancy with considerable variability in clinical outcomes. Reliable biomarkers for prognosis and treatment guidance remain urgently needed. Migrasomes, recently identified cellular organelles involved in intercellular communication, have been implicated in cancer progression, yet their associated long non-coding RNAs (lncRNAs) and prognostic relevance in BLCA remain unclear.We integrated transcriptomic and clinical data from The Cancer Genome Atlas (TCGA) to identify migrasome-related lncRNAs through co-expression analysis. A prognostic signature was constructed using univariate Cox, LASSO, and multivariate regression analyses. Patients were stratified into high- and low-risk groups across training, validation, and entire cohorts. Kaplan-Meier survival, ROC curves, PCA, and Cox analyses were used for validation. Functional annotation was conducted via GO, KEGG, and GSEA. Immune infiltration and tumor microenvironment features were evaluated using ESTIMATE and CIBERSORT, while tumor mutation burden (TMB), immune escape potential, and drug sensitivity were also analyzed. Single-cell RNA sequencing (scRNA-seq) analysis delineated cellular heterogeneity and intercellular communication patterns related to the risk signature in the BLCA microenvironment. Finally, experimental validation of SEC24B-AS1, a key lncRNA within the model, was performed through qRT-PCR, CCK-8, colony formation, and migration assays to confirm its biological relevance.A robust prognostic signature comprising migrasome-related lncRNAs was established, effectively distinguishing patients into high- and low-risk groups with significantly different survival outcomes. The signature remained an independent prognostic factor after multivariate adjustment. Functional enrichment analyses revealed marked biological distinctions between the two groups. Immune profiling showed higher immune and stromal scores in high-risk patients, together with distinct immune cell composition and function. High-risk tumors also exhibited elevated TMB and increased immune evasion potential. Drug sensitivity analysis identified compounds with differential responses between risk subgroups. Single-cell transcriptomic analysis indicated that the signature reflects cellular heterogeneity and intercellular communication patterns within the BLCA microenvironment. Experimental validation of SEC24B-AS1, a key lncRNA in the model, demonstrated its impact on tumor cell proliferation and migration, supporting the biological relevance of the prognostic signature in BLCA.This study presents a novel migrasome-related lncRNA signature that independently predicts survival in bladder cancer and reflects the tumor immune landscape.Copyright © 2026 Shen, Wang, Li, Guan, Zhang, Li, Zhang, Liu, Tian and Shang.",Journal Article,Shen J; Wang C; Li T; Guan H; Zhang M; Li R; Zhang Y; Liu L; Tian J; Shang Z,non_mrna_feature
41862905,10.1186/s12967-026-08010-7,2026,Journal of translational medicine,A machine learning-based epigenetic signature reveals YTHDC1 stabilizes POU5F1 to oppose tumor progression.,"BACKGROUND: The prognosis and progression mechanisms of bladder cancer (BLCA) are highly heterogeneous, driven by complex genetic and epigenetic alterations. This study aimed to construct a robust prognostic signature using epigenetic modification-related genes and to investigate the underlying molecular mechanisms driving its predictive power. METHODS: We developed a prognostic signature by applying a machine learning-based approach to screen epigenetic genes in the TCGA (The Cancer Genome Atlas)-BLCA cohort. Its performance was rigorously evaluated against 101 other machine learning algorithms and 110 previously published signatures across four independent validation datasets (IMvigor210, E-MTAB-4321, GSE31684, GSE48075). Associations with clinical, genetic, and transcriptomic features were analyzed. Immune infiltration, cell-cell interactions, and drug responses were assessed using both bulk and single-cell RNA-seq data. The functional role of a key signature gene, YTHDC1 (YTH Domain-Containing 1), was investigated through in vitro assays. RESULTS: A six-gene epigenetic signature was constructed. It significantly stratified patients into high- and low-risk groups with distinct overall survival (median survival 20.5 vs. 86.8 months, HR = 2.12, p = 7.7e-7). Our signature demonstrated superior predictive accuracy (C-index and 1-year AUROC) compared to other models. High-risk scores correlated with adverse clinical features (e.g., advanced stage), elevated PD-1/PD-L1, higher genomic instability, and immunosuppressive microenvironments. Single-cell analysis revealed altered T-cell interactions in high-risk cases. Mechanistically, YTHDC1 was shown to bind and stabilize POU5F1 (OCT4) mRNA, thereby inhibiting proliferation and migration in BLCA cell lines (T24, 5637). This anti-tumor effect was dependent on POU5F1. CONCLUSION: The machine learning-derived epigenetic signature is a robust indicator of BLCA heterogeneity across multiple dimensions. YTHDC1, a core component, inhibits cancer progression by stabilizing POU5F1 mRNA, highlighting a novel regulatory axis.",Journal Article,Fang C; Dai J; Weng Z; Zhang L; Xing Y; Liu D; Wu H; Li X; Liu Q; Su G,not_bladder; single_gene_mechanistic
41668898,10.1097/CU9.0000000000000306,2026,Current urology,Revealing the function and mechanism of piRNA-related genes in bladder cancer through single-cell sequencing and methylation analyses and construction of prognostic features based on consensus clustering.,"This study aimed to explore the functions and potential mechanisms of PIWI-interacting RNA-related genes (piRPGs) in bladder cancer (BC) development and to identify potential prognostic genes.This study used differential analysis and machine learning techniques to identify the differentially expressed piRPGs in BC. Consensus clustering was performed on The Cancer Genome Atlas-Urothelial Bladder Carcinoma dataset, and univariate and multivariate analyses were conducted to construct a BC prognostic model consisting of 3 piRPGs. Kaplan-Meier survival curves were used for survival analysis. Quantitative polymerase chain reaction was performed to validate the expression levels of piRPGs in BC cells and tissues. The functional roles and potential mechanisms of piRPGs in BC were investigated via single-cell sequencing and differentially methylated position sequencing. The DSigDB and CellMiner databases were used to screen for small-molecule drugs associated with piRPGs.This study identified 6 piRPGs that were significantly associated with BC: MAPK13, INHBA, LAMB2, DDX3X, TARBP2, and CDK2. A prognostic model comprising MAPK13, INHBA, and LAMB2 was constructed using consensus clustering technology. Kaplan-Meier curves demonstrated significantly prolonged survival in cluster 2 compared with cluster 1 (p < 0.01), validating the effectiveness of the prognostic model. Single-cell sequencing confirmed that MAPK13 expression was significantly upregulated in bladder tissues (p < 0.001). Methylation site sequencing and methylation-specific polymerase chain reaction revealed significantly decreased methylation levels of INHBA and MAPK13 in BC tissues, which were inversely correlated with their expression levels.This study effectively developed a 3-gene prognostic signature comprising MAPK13, INHBA, and LAMB2 using consensus clustering and multifactorial logistic regression. In addition, the functional roles and intrinsic mechanisms of piRPGs in bladder carcinogenesis were comprehensively explored using single-cell sequencing, methylation sequencing, and functional enrichment analysis.Copyright © 2025 The Authors. Published by Wolters Kluwer Health, Inc.",Journal Article,Sun X; Jia D; Song X; Jiang Y; Wu F; Ning H; Lyu J,non_mrna_feature
41809777,10.21037/tau-2025-1-970,2026,Translational andrology and urology,Development and validation of a gemcitabine sensitivity-related long noncoding RNA signature for predicting the prognosis and subtypes of bladder cancer.,"Bladder cancer (BLCA) is a common urogenital malignancy with significant heterogeneity, and gemcitabine serves as a key chemotherapeutic agent for BLCA. This study examined gemcitabine sensitivity-related long noncoding RNA (GSRlncRNA) in BLCA and constructed a prognostic signature.Gene expression and clinical data were obtained from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) databases. The gemcitabine sensitivity of BLCA samples was quantitatively calculated. Using weighted gene coexpression network analysis (WGCNA), we analyzed the role of GSRlncRNA in BLCA. We developed a prognostic signature using machine learning algorithm integration, with the TCGA-BLCA cohort (n=405) serving as the training set and GSE31684 (n=93) serving as the validation cohort. Patients were stratified into low- and high-risk groups based on risk scores. Comparative analyses included prognosis, immune infiltration, mutational profiles, and pathway enrichment. Single-cell RNA sequencing (scRNA-seq) and in vitro experiments further validated the expression and functional roles of GSRlncRNA in BLCA.GSRlncRNAs were identified via WGCNA. The partial least squares regression for Cox (plsRcox) was selected as the optimal modeling approach. A prognostic signature comprising 37 GSRlncRNAs effectively stratified patients into distinct risk groups, which demonstrated significant differences in survival outcomes, pathway enrichment, immune infiltration, and mutational profiles. To enhance clinical utility, a nomogram and web-based calculator were developed. scRNA-seq clarified the critical roles of LINC00930 and EMX2OS in BLCA progression. Real-time quantitative polymerase chain reaction confirmed the differential expression of GSRlncRNA in BLCA compared to that in normal tissues. Functional assays demonstrated that LINC00930 and EMX2OS suppression impaired BLCA cell proliferation, migration, invasion, apoptosis, cell cycle, and gemcitabine sensitivity.We identified critical prognostic associations between GSRlncRNAs and BLCA. Based on these findings, we constructed a GSRlncRNA-based predictive signature, which demonstrated considerable potential for risk stratification and personalized treatment decisions. Functional experiments further validated the involvement of GSRlncRNAs in BLCA progression.© AME Publishing Company.",Journal Article,Liu J; Tang X; Cui Y; Yang X; Yang Y; Du P,non_mrna_feature
41715136,10.1186/s12967-026-07857-0,2026,Journal of translational medicine,"Single-cell transcriptomic analysis and machine learning identify ATAD3A as a key gene that stabilizes mitochondrial-endoplasmic reticulum membranes, promoting bladder cancer progression.","Mitochondria-associated endoplasmic reticulum membranes (MAM) play a critical regulatory role in cancer, yet their function in bladder cancer (BCa) remains unclear.This study conducted a comprehensive analysis of extensive RNA sequencing and single-cell transcriptomic data. A MAM risk feature model was constructed and evaluated using LASSO-Cox regression, Kaplan-Meier survival curves, and receiver operating characteristic (ROC) analysis. Cell communication networks were decoded using CellChat, and tumor-infiltrating immune cells were quantified through CIBERSORT. Machine learning, OncoPredict, Scissor algorithm, and spatial transcriptomics were employed to analyze chemical reactions. The tumor-promoting functions and molecular mechanisms of ATAD3A were validated through cell and animal models, as well as transmission electron microscopy and fluorescence confocal microscopy.This study systematically delineates the gene expression profile of MAM in BCa and constructs a robust MAM prognostic signature that effectively predicts poor patient outcomes. A high MAM score is significantly associated with an immunosuppressive microenvironment and chemotherapy resistance. Using machine learning, we developed a random forest model that successfully identified ATAD3A as a key gene predicting cisplatin resistance, which is significantly correlated with platinum resistance at both single-cell and spatial transcriptomic levels. Further validation shows that ATAD3A is highly expressed in BCa tissue, and its knockdown significantly suppresses tumor growth. Mechanistically, ATAD3A maintains MAM structural integrity, regulates mitochondrial calcium homeostasis and membrane potential, thereby promoting cellular homeostasis and enhancing chemotherapy resistance.This study connects MAM to BCa chemotherapy resistance through machine learning and multi-omics analysis, establishing ATAD3A as a prognostic biomarker and potential therapeutic target in BCa.© 2026. The Author(s).",Journal Article,Zhang H; Han S; Su Z; Zheng Z; Ru D; Xu B; Jiang X; Zhao F,single_gene_mechanistic
41656395,10.1007/s10142-025-01807-7,2026,Functional & integrative genomics,The BCAA metabolism-related gene BCAT1 promotes the progression of bladder urothelial carcinoma through the PI3K/AKT/mTOR signalling pathway.,"The role and molecular mechanisms of branched-chain amino acid (BCAA) metabolism in bladder urothelial carcinoma (BLCA) have not been fully elucidated. In this study, genes associated with BCAA metabolism were identified and analysed. Based on the TCGA-BLCA dataset, BCAA metabolism-related clusters were established. The analysis revealed significant differences among clusters in terms of survival outcomes, biological functions, and immune infiltration. Hub genes were identified using Cox and LASSO regression analyses, leading to the construction of a four-gene prognostic model that included BCAT1. Patients were categorised into high- and low-risk groups, with the high-risk group showing a markedly higher risk of mortality. Key module genes were determined through weighted gene coexpression network analysis, and BCAT1 was ultimately identified as the core gene involved in BCAA metabolism. High BCAT1 expression was strongly associated with poor prognosis. Single-cell RNA sequencing data revealed that BCAT1 was highly expressed in malignant epithelial cells and correlated with the immune microenvironment. Experimental validation demonstrated that BCAA uptake and metabolism were enhanced in BLCA and that BCAT1 upregulation promoted tumour progression and epithelial-mesenchymal transition by activating the PI3K/AKT/mTOR pathway. Molecular docking and virtual screening further identified folic acid as a compound capable of binding to the BCAT1 protein and inhibiting the migration and invasion of BLCA cells. In conclusion, this study demonstrates that BCAT1 plays a pivotal role in BLCA progression by regulating the PI3K/AKT/mTOR pathway, suggesting its potential as a novel therapeutic target for BLCA.",Journal Article,Xin S; Li G; Zhao L; Su J; Li R; Qin W; Zhang Z; Wang C; Zhu Y; Feng L,single_gene_mechanistic
41533176,10.1007/s12672-026-04440-3,2026,Discover oncology,Single-cell and immune-context integration identifies basement-membrane/metastasis signatures that sharpen bladder-cancer diagnosis and prognosis.,"Bladder cancer(BLCA) has a high recurrence rate and metastasis, and its process is closely related to basement membrane remodeling. we developed an interpretable prognostic model based on metastasis-basement membrane-related genes (MBRGs) to enhance clinical and personalized treatment strategies.Differentially expressed MBRGs from TCGA and GEO cohorts were analyzed. Prognostic genes were identified by univariate Cox and LASSO regression. A six-MBRG risk model was built and externally validated. SHAP analysis quantified feature contributions. Functional enrichment analyzed via GSEA and KEGG. Immune cell profiles estimated with CIBERSORT and ssGSEA. Immunotherapy response predicted using TMB, TIDE, and mutation frequency. Single-cell and spatial transcriptomics localized key genes to cancer-associated fibroblasts(CAFs).Through analysis of metastasis and basement membrane-associated DEGs, 18 candidate MBRGs were identified and refined via univariate Cox and SHAP to a 6-gene signature (SERPINF1, DDR2, SLIT2, HSPG2, ECM1, RECK). This signature demonstrated prognostic power with AUCs of 0.638-0.674 in TCGA and 0.602-0.742 in GEO cohorts. A clinical nomogram achieved an AUC of 0.827. The high-risk group exhibited elevated M2 macrophages and TIDE scores(a computational metric for predicting tumor immune evasion and immunotherapy response), whereas the low-risk group showed enriched CD8⁺ T cells. Drug assays indicated dasatinib sensitivity in low-risk patients, and LGK974, LY2109761, and Wnt-C59 in high-risk patients. Single-cell RNA-seq and IHC confirmed CAF-specific overexpression of DDR2 and SERPINF1.The MBRG-based model effectively predicts BLCA prognosis, integrates mechanisms of basement membrane remodeling, EMT, and immune suppression, and identifies DDR2 and SERPINF1 in CAFs as potential targets for personalized therapy.© 2026. The Author(s).",Journal Article,Chen J; Liu X; Ren R; Yi R; Zhang X; Xie C; Liu X; Long W,not_bladder
