pmid,doi,year,journal,title,abstract,pubtypes,authors,screening_reasons,screening_reasons
42555166,10.1002/mc.70162,2026,Molecular carcinogenesis,Integrated Immunological Analysis of Interactions Between CXCL13+ T Cells and LAMP3+ DC in the Immunotherapy Response of Bladder Cancer.,"CXCL13+ T cells and LAMP3+ dendritic cells (DCs) are pivotal players in orchestrating anti-tumor immune responses, particularly within tumor tertiary lymphoid structures (TLS). However, their heterogeneity, differentiation trajectories, and clinical relevance in bladder cancer remain incompletely defined. This study integrated single-cell RNA sequencing (scRNA-seq) data (16 bladder cancer patients, 113,905 post-quality-control cells) and spatial transcriptomics to characterize CXCL13+ T cell/LAMP3+ DC subsets, their differentiation pathways (via Velocyto trajectory analysis), and intercellular crosstalk (via receptor-ligand mapping). A risk model (DTscore) was constructed using marker genes of these cells and validated in the IMvigor210 (atezolizumab-treated bladder cancer) and TCGA-BLCA cohorts. scRNA-seq clustering identified 10 immune and 3 nonimmune cell types, with T cells stratified into 8 subpopulations (including CD4+CXCL13+ T cells and CD8+CXCL13+ T cells) and DCs into 9 subgroups (including LAMP3+ DCs). Receptor-ligand mapping and spatial transcriptomics confirmed functional crosstalk between CXCL13+ T cells and LAMP3+ DCs via key pairs (e.g., CCR7-CCL19, CXCR5-CXCL13, PDCD1-CD274) within TLS. The DTscore was developed using 8 marker genes (TSHZ2, ALOX5AP, GADD45G, TXN, CHN1, CCL19, CXCL13, ICA1) and exhibited robust prognostic and predictive performance: In the IMvigor210 cohort, high DTscore correlated with significantly poorer overall survival (OS) and a 3.27-fold lower immunotherapy response rate (11% vs. 36%, p = 4.23e-07); multivariate Cox regression confirmed DTscore as an independent OS predictor (hazard ratio = 1.97, p < 0.001). DTscore retained prognostic value in TCGA-BLCA (OS: p = 0.003; disease-specific survival: p < 0.001) and effectively predicted atezolizumab response even in the ""immune desert"" phenotype (p = 0.04). Combining DTscore with tumor mutational burden/tumor neoantigen burden yielded an AUC of 0.8122 for response prediction. Additionally, high DTscore was associated with higher OS hazard ratios in patients with wild-type TTN, RB1, EP300, or FGFR3 (all p < 0.01), while FGFR3 mutations correlated with lower immune checkpoint/CXCL13 expression. This study delineates the heterogeneity and interactions of CXCL13+ T cell/LAMP3+ DC subsets in bladder cancer TLS and validates DTscore as a robust tool for predicting OS and immunotherapy response, offering a potential guide for personalized bladder cancer treatment.© 2026 Wiley Periodicals LLC.",Journal Article,Zhou L; Zhu J; Liu Y; Xu B,not_signature_like_title,not_signature_like_title
42516298,10.3389/fcell.2026.1809774,2026,Frontiers in cell and developmental biology,Clonal evolution and stromal crosstalk drive an invasive epithelial program in bladder cancer.,"Tumor progression and metastasis in bladder cancer are driven by epithelial cell heterogeneity and dynamic interactions with the tumor microenvironment. To elucidate epithelial subpopulations associated with cancer progression, we performed single-cell transcriptomic profiling of bladder cancer tissues and identified a distinct epithelial subset, termed Meta-program 6 (MP6), that was significantly enriched in samples exhibiting lymphovascular invasion or lymph node metastasis. The MP6 gene signature correlated strongly with advanced tumor stage, lymph node involvement, and lymphovascular infiltration. CNV analysis revealed extensive chromosomal alterations, particularly chromosome 19 deletion, indicating genomic instability. Cell-cell communication analysis demonstrated active crosstalk between MP6 tumor cells and cancer-associated fibroblasts, including WNT and BMP signaling pathways, indicating that stromal crosstalk may contribute to the establishment of a pro-tumorigenic microenvironment. Transcription factor network inference further identified elevated activity of regulators such as TFCP2 and ELF1, implicating them in the acquisition of aggressive phenotypes. Immunohistochemical validation supported the clinical relevance of selected MP6-associated targets. Collectively, these findings define a clonally evolved epithelial subtype associated with lymphatic invasion and provide mechanistic insights into tumor cell plasticity and stromal-epithelial interactions underlying bladder cancer progression.Copyright © 2026 Luo, Liu, Zhu, Lin, Li, You, Chen, Kang and Zeng.",Journal Article,Luo Y; Liu X; Zhu S; Lin P; Li J; You J; Chen Z; Kang Z; Zeng J,not_signature_like_title,not_signature_like_title
42436233,10.1038/s41598-026-61819-6,2026,Scientific reports,Associations between the intratumoral microbiome and the host transcriptome in bladder cancer and their implications for prognostic prediction.,"Intratumoral microbes significantly influence tumor progression, yet their specific roles and host interactions in bladder cancer (BLCA) remain elusive. Integrating 16 S rRNA sequencing from an in-house cohort with TCGA data, we identified Methylobacterium as prominently enriched in adjacent non-tumor tissues and tightly correlated with host transcriptomic alterations. Through LASSO regression, we constructed and externally validated a Methylobacterium-associated four-gene prognostic signature (SLC1A6, BCHE, TXNRD1, CFL2). The model robustly stratified patient outcomes; high-risk patients exhibited significantly worse survival, characterized by an immunosuppressive microenvironment with elevated M2 macrophages, regulatory T cells, and higher TIDE scores indicating immune evasion. Crucially, in vitro experiments suggested that Methylobacterium supernatant exerted tumor-suppressive effects, profoundly inhibiting BLCA cell proliferation and colony formation while modulating host gene expression (downregulating BCHE and CFL2). Collectively, this study unveils the protective potential of intratumoral Methylobacterium and proposes a novel microbe-derived signature for predicting BLCA prognosis and immune status, providing new insights into microbiota-host crosstalk for future therapeutic strategies.© 2026. The Author(s).",Journal Article,Gu J; Wang M; Zhou Z; Zhang M; Lin H; Hua Y; Zhang D; Shao J; Feng N,not_signature_like_title,not_signature_like_title
42371282,10.1007/s12672-026-05338-w,2026,Discover oncology,Targeting macrophage-associated core genes for prognostic prediction and therapeutic insights in bladder cancer.,"The study aims at investigating the function of macrophage-related genes (MRGs) within the bladder cancer immune microenvironment and exploring their potential value in prognosis prediction and therapeutic decision-making.This study integrated bladder cancer transcriptomic data from the TCGA and GEO databases along with single-cell RNA sequencing (scRNA-seq) data to systematically identify key MRGs. Differential expression analysis, weighted gene co-expression network analysis (WGCNA), and single-cell sequencing analysis served for screening for core MRGs. The results from LASSO Cox regression analysis were used for constructing a survival risk prediction model, together with the evaluation of the model's predictive accuracy. Besides, core MRGs were subjected to immune cell infiltration and drug sensitivity analyses for the elucidation of their roles in immune regulation and therapeutic response. Furthermore, key genes in the prognostic model were validated using PCR, Western blot, and immunohistochemistry.This study identified 11 core genes significantly associated with macrophages and developed a risk prediction model based on ANXA1, ST3GAL5, and VIM. The model demonstrated moderate predictive performance across all samples (AUC = 0.682), indicating potential utility for patient stratification. Immune analysis revealed that high-risk patients exhibited a distinctly immunosuppressive tumor microenvironment (TME), characterized by increased infiltration of M2 macrophages and neutrophils, along with a significant reduction in effector immune cells of CD8⁺ T cells and NK cells. Additionally, high-risk patients displayed greater sensitivity to targeted therapies but reduced sensitivity to conventional chemotherapy. According to in vitro and in vivo experiments, ST3GAL5 overexpression significantly promoted bladder cancer cell proliferation and tumor growth, underscoring its potential role in tumor progression.This study highlights the crucial impact of MRGs on the TME of bladder cancer and constructs a risk prediction model with moderate predictive performance that may assist in patient stratification, although further validation in independent cohorts is required.© 2026. The Author(s).",Journal Article,Liu H; Chu Y; Hou J; Wang Y; Li J; Qin J; Liang P; Liao G; Gu P; Liu X,not_signature_like_title,not_signature_like_title
42319469,10.1007/s00438-026-02472-6,2026,Molecular genetics and genomics : MGG,Single-cell transcriptomics identifies key immune-suppressive cells and their driver genes in the bladder cancer microenvironment with prognostic implications.,"The immunosuppressive tumor microenvironment (TME) serves as a central driver of bladder cancer (BCa) progression and prognosis. While its significance is widely acknowledged, the key cellular subsets that mediate this immunosuppressive state and their core regulatory genes remain incompletely understood. Key immunosuppressive cellular subsets and their signature genes were systematically identified using single-cell RNA sequencing (scRNA-seq) data from BCa samples. A prognostic risk model was then constructed via univariate and multivariate Cox regression analyses, based on bulk RNA-seq datasets and the identified signature genes. The role of SUSD2 was further validated in vitro using qRT-PCR, Western blot, immunofluorescence, proliferation, and invasion assays. Compared with adjacent normal tissues, BCa tissues showed significant enrichment of stromal cells (e.g., epithelial cells, fibroblasts). Among these stromal populations, the proportion of myofibroblast-like cancer-associated fibroblasts (myCAFs) was significantly increased in BCa tissues, and high myCAF infiltration was closely associated with poor patient prognosis. Pseudotime trajectory analysis confirmed that fibroblast differentiation in BCa shifts toward a terminal state (State 3), which is predominantly composed of myCAFs. A prognostic model established using myCAF-related signature genes (TMEM74B, ABCC9, FCMR, ALG9, SUSD2, and ETV7) exhibited stable predictive performance in both training and validation cohorts, with SUSD2 identified as a risk-related gene. In vitro experiments revealed that SUSD2 knockdown inhibited myCAF activation and extracellular matrix secretion, thereby attenuating its promotional effects on BCa cell proliferation and invasion. The TGF-β receptor inhibitor SB-431542could reverse the facilitative effects of SUSD2 overexpression on tumor cell proliferation and migration. Our findings identify myCAFs as a core regulatory cellular subset and SUSD2 as a key molecule within the immunosuppressive TME of BCa. Additionally, SUSD2 may trigger the activation of the TGF-β/Smad signaling cascade to induce myCAF activation, thereby accelerating BCa progression. These results provide novel potential targets and a theoretical basis for prognosis assessment and TME-targeted therapy in BCa.© 2026. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Journal Article,Song W; Han G; Li Z; Hu J; Ma K,not_signature_like_title,not_signature_like_title
42251607,10.1007/s12672-026-05387-1,2026,Discover oncology,Integrative multi-omics identifies a glycosylation-based prognostic framework and nominates ALG3 for targeted therapy in bladder cancer.,"Bladder urothelial carcinoma (BLCA) exhibits heterogeneous outcomes, creating an urgent need for reliable prognostic biomarkers. Glycosylation modifications are crucial in cancer but understudied for BLCA stratification.Using clinical and transcriptomic data from The Cancer Genome Atlas (TCGA) and glycosylation-related genes from the Gene Set Enrichment Analysis (GSEA) database, we constructed a prognostic signature via LASSO regression. It was validated using receiver operating characteristic (ROC) curve and stratified survival analyses. The key gene, alpha-1,3-mannosyltransferase (ALG3), was experimentally validated.A novel 9-glycosylation-mRNA signature effectively stratified BLCA patients into distinct risk groups with significant overall survival differences. The model showed robust predictive accuracy (AUC) and remained independent of common clinicopathological factors. We identified ALG3 as central to the signature, confirming its elevated tumor expression and critical role in promoting cancer cell proliferation.We established a potent, glycosylation-based prognostic model for BLCA. Functional validation of ALG3 underscores glycosylation's biological importance in tumor progression and highlights its therapeutic potential.© 2026. The Author(s).",Journal Article,Feng W; He W,not_signature_like_title,not_signature_like_title
41794187,10.1016/j.taap.2026.117784,2026,Toxicology and applied pharmacology,"Unraveling the connection between PFOA and bladder cancer: A study integrating network toxicology, molecular docking, and experimental validation.","PFOA, an environmental pollutant linked to bladder cancer, has unclear molecular mechanisms. Integrating transcriptomic data with network toxicology and machine learning, we identified 125 shared genes related to PFOA and bladder cancer. Machine learning refined a 16-gene prognostic signature. Molecular docking revealed NUDT1 as the top candidate with strong PFOA binding affinity. Functional experiments showed PFOA upregulates NUDT1, enhancing bladder cancer cell proliferation and migration. NUDT1 knockdown attenuated these malignant effects and partially reversed PFOA's impact. Thus, PFOA promotes bladder cancer progression via NUDT1 interaction, positioning NUDT1 as a potential biomarker and therapeutic target for PFOA-associated carcinogenesis.Copyright © 2024. Published by Elsevier Inc.",Journal Article,Yan H; Yin C; Xu F; Li R,not_signature_like_title,not_signature_like_title
41388608,10.1002/2211-5463.70179,2026,FEBS open bio,Tumor-stromal crosstalk and macrophage enrichment are associated with chemotherapy response in bladder cancer.,"Gemcitabine/Cisplatin (Gem/Cis) chemotherapy is a standard treatment for muscle-invasive bladder cancer (MIBC) but yields suboptimal response rates. The contribution of tumor-stromal crosstalk and macrophage recruitment to chemoresistance remains poorly understood. This study investigated these mechanisms using a functional ex vivo bladder cancer tissue slice model combined with n = 64 spatial transcriptomics. Spatial analysis revealed transcriptomic changes involving the immunomodulating gene SPP1 that has been also recently presented as a putative predictive biomarker for neoadjuvant chemotherapy in bladder cancer. Moreover, Non-Responders exhibited upregulation of chemokines including CXCL1 and CXCL8 and enrichment of immunoregulatory M2 macrophages in tumor regions, suggesting active macrophage recruitment from the stroma. On the contrary, Responders showed upregulation of complement components, proinflammatory macrophage subsets and signals associated with cytotoxic lymphocyte recruitment. Tissue slices corresponding cell cultures confirmed overexpression of immunomodulating markers including checkpoints PD-L1 and PD-L2 in Non-Responder cancer cells upon Gem/Cis treatment. Using TCGA bladder cancer data, the transcriptomic gene set was further validated revealing a prognostic signature associated with patients' outcome. These findings uncover a novel mechanism of chemotherapy resistance in bladder cancer driven by tumor-stromal interactions and macrophage recruitment and suggest that targeting macrophage infiltration may improve chemotherapy response in bladder cancer.© 2025 The Author(s). FEBS Open Bio published by John Wiley & Sons Ltd on behalf of Federation of European Biochemical Societies.",Journal Article,Leypold S; Riese J; Seillier L; Kühnel M; Pannhausen J; Fröhlich COJ; Martin C; Boor P; Saar M; Jonigk DD,not_signature_like_title,not_signature_like_title
42279297,10.3390/cancers18111713,2026,Cancers,Abnormal Sialylation Promotes Chemotherapy Resistance in Bladder Cancer via the PI3K-AKT-mTOR Signaling Pathway.,"Aberrant glycosylation is closely associated with tumor progression, changes in the tumor microenvironment, and chemoresistance. This study aimed to identify prognostic sialylation-related genes in bladder cancer and define the role of ST3GAL6 in gemcitabine-cisplatin resistance.Molecular subtype analysis, prognostic analysis, and risk model construction were performed for sialylation-related genes using transcriptomic data and clinical information from the TCGA database. GC-resistant bladder cancer cell models were established for transcriptomic sequencing and untargeted metabolomic analysis. Cell proliferation and drug sensitivity assays were performed to evaluate the function of ST3GAL6. The regulatory relationship between IGF2BP3, ST3GAL6, and the PI3K pathway was further assessed by combining database analysis with molecular experiments.Sialylation-related molecular patterns were associated with patient prognosis and tumor microenvironment features, particularly fibroblast-related characteristics, in bladder cancer. The key model gene ST3GAL6 was upregulated in bladder cancer tissues and was closely associated with prognosis. In GC-resistant bladder cancer cells, ST3GAL6 expression was significantly increased and accompanied by enhanced sialylation activity. ST3GAL6 promoted bladder cancer cell proliferation and reduced sensitivity to cisplatin and gemcitabine, at least in part through the PI3K-AKT-mTOR pathway. IGF2BP3 was also upregulated in resistant cells, is positively correlated with ST3GAL6, and may help maintain ST3GAL6's expression by stabilizing its mRNA.Our findings suggest that aberrant sialylation is involved in bladder cancer progression and GC resistance. The IGF2BP3-ST3GAL6-PI3K/AKT/mTOR signaling axis may contribute to this process and may serve as a potential biomarker and therapeutic target in bladder cancer.",Journal Article,Zhu J; Wang A; Tong H; Sun Y; Li T; Wu L; Zhang X; Qin Z; He W,not_signature_like_title,not_signature_like_title
42220482,10.3389/fimmu.2026.1797389,2026,Frontiers in immunology,Identification of succinylation-related genes in bladder cancer: integration of single-cell and transcriptomic data.,"Bladder cancer (BLCA) exhibits a poor prognosis, highlighting the urgent need for reliable prognostic genes. Although succinylation is linked to tumor progression, its role in BLCA remains understudied. This study aimed to identify and validate prognostic succinylation-related genes (SRGs) in BLCA and elucidate their impact on the tumor microenvironment (TME).SRGs were initially identified through transcriptomic sequencing of 15 paired BLCA and adjacent normal tissues (Soochow-BLCA cohort) and further refined by integrating single-cell and bulk transcriptomic data from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) datasets. A prognostic risk model was developed using LASSO and multivariable Cox regression, incorporating clinical factors for nomogram construction. Mechanistic insights were obtained through functional enrichment, immune profiling, somatic mutation, and drug sensitivity analyses. The Scissor algorithm mapped bulk transcriptome risk signatures to single-cell resolution, enabling identification of high-risk cell subpopulations. Pseudotime and cell-cell communication analyses characterized dynamic expression patterns of the core genes. Finally, the expression profiles and functional roles of the core genes were validated using RT-qPCR and CCK-8 proliferation assays in vitro.KCTD16, CD3D and GSDMB were identified as prognostic genes. The risk score derived from these genes, in combination with age and N stage, was incorporated into a risk model that exhibited robust predictive accuracy (AUC > 0.7). Expression of these genes differed significantly between non-muscle-invasive and muscle-invasive subtypes. The high-risk group displayed enhanced immune evasion (higher TIDE score, p < 0.001), while the TME appeared to be in an ""inflamed yet dysfunctional"" state. Single-cell analysis indicated epithelial cells as key subpopulations, with additional involvement of T cells and fibroblasts. Scissor+ cells were correlated with the high-risk phenotype and exhibited pseudotime-dependent expression patterns. RT-qPCR revealed significant upregulation of GSDMB and downregulation of KCTD16 and CD3D in BLCA (p < 0.05). Functionally, knockdown of GSDMB and KCTD16 significantly promoted T24 cell proliferation, supporting their tumor-suppressive roles.The succinylation-related prognostic model accurately predicts outcomes in BLCA, reveals links to immune escape and TME, and highlights the pivotal role of epithelial cells, offering potential targets for individualized therapy.Copyright © 2026 Yang, You, Mo, Pu, Shen and Miao.",Journal Article,Yang J; You Z; Mo H; Pu J; Shen G; Miao Z,not_signature_like_title,not_signature_like_title
