pmid,doi,year,journal,title,abstract,pubtypes,authors,screening_reasons,screen_v2_reasons,screen_v2_reasons
41862905,10.1186/s12967-026-08010-7,2026,Journal of translational medicine,A machine learning-based epigenetic signature reveals YTHDC1 stabilizes POU5F1 to oppose tumor progression.,"BACKGROUND: The prognosis and progression mechanisms of bladder cancer (BLCA) are highly heterogeneous, driven by complex genetic and epigenetic alterations. This study aimed to construct a robust prognostic signature using epigenetic modification-related genes and to investigate the underlying molecular mechanisms driving its predictive power. METHODS: We developed a prognostic signature by applying a machine learning-based approach to screen epigenetic genes in the TCGA (The Cancer Genome Atlas)-BLCA cohort. Its performance was rigorously evaluated against 101 other machine learning algorithms and 110 previously published signatures across four independent validation datasets (IMvigor210, E-MTAB-4321, GSE31684, GSE48075). Associations with clinical, genetic, and transcriptomic features were analyzed. Immune infiltration, cell-cell interactions, and drug responses were assessed using both bulk and single-cell RNA-seq data. The functional role of a key signature gene, YTHDC1 (YTH Domain-Containing 1), was investigated through in vitro assays. RESULTS: A six-gene epigenetic signature was constructed. It significantly stratified patients into high- and low-risk groups with distinct overall survival (median survival 20.5 vs. 86.8 months, HR = 2.12, p = 7.7e-7). Our signature demonstrated superior predictive accuracy (C-index and 1-year AUROC) compared to other models. High-risk scores correlated with adverse clinical features (e.g., advanced stage), elevated PD-1/PD-L1, higher genomic instability, and immunosuppressive microenvironments. Single-cell analysis revealed altered T-cell interactions in high-risk cases. Mechanistically, YTHDC1 was shown to bind and stabilize POU5F1 (OCT4) mRNA, thereby inhibiting proliferation and migration in BLCA cell lines (T24, 5637). This anti-tumor effect was dependent on POU5F1. CONCLUSION: The machine learning-derived epigenetic signature is a robust indicator of BLCA heterogeneity across multiple dimensions. YTHDC1, a core component, inhibits cancer progression by stabilizing POU5F1 mRNA, highlighting a novel regulatory axis.",Journal Article,Fang C; Dai J; Weng Z; Zhang L; Xing Y; Liu D; Wu H; Li X; Liu Q; Su G,,non_mrna,non_mrna
41689016,10.1186/s12906-026-05279-5,2026,BMC complementary medicine and therapies,Exploring the underlying mechanisms of Hedyotis diffusa and Scutellaria Barbata herb pair on the prognosis and treatment efficacy of bladder cancer patients: an integrated approach of network pharmacology and bioinformatics analysis.,"BACKGROUND: The development and progression of bladder cancer are closely linked to its complex tumor microenvironment. Hedyotis diffusa and Scutellaria barbata (HD-SB) are commonly used as a prominent herbal pair for treating bladder cancer. However, the pharmacological targets and molecular mechanisms by which HD-SB impacts bladder cancer require further elucidation. Additionally, it remains uncertain whether this herbal pair affects the prognosis and treatment efficacy of bladder cancer. METHODS: We employed network pharmacology to predict the targets of HD-SB and bladder cancer, identifying overlaps with prognostic genes linked to the overall survival of bladder cancer patients in the TCGA dataset. Subsequently, we utilized least absolute shrinkage and selection operator (LASSO) and Cox regression analyses to pinpoint a prognostic signature and construct a prognostic model. We further explored the correlations between risk scores, immune cells, immune checkpoint genes, and treatment efficacy. Single-cell RNA-sequencing (scRNA-seq) was used to profile the expression of prognostic genes across various cell types, and immunohistochemistry validated the protein levels of these targets. Molecular docking studies were conducted to clarify the interactions between HD-SB components and the identified genes, and in vitro experiments demonstrated the effects of HD-SB on bladder cancer cells. RESULTS: Venn diagram analysis identified 497 common targets shared between HD-SB and bladder cancer. LASSO and Cox regression identified a 15-gene prognostic signature, including VEGFA, EGFR, MYC, PDGFRA, JUN, FN1, PTPN6, PTGER3, MAP2, CALM1, CTSV, CES1, ADRA1D, PYGL, and PLA2G1B. Kaplan-Meier analysis showed better overall survival in the low-risk group (median 19.8 months) versus the high-risk group (median 15.9 months). Linear regression analysis revealed a significant correlation between risk scores and specific immune cell types, as well as the dysregulated expression of immune checkpoint genes across different groups. The prognostic gene-based risk score was also found to correlate with the efficacy of both immunotherapy and chemotherapy. Six key targets—VEGFA, MYC, JUN, FN1, PTPN6, and CALM1—were validated through scRNA-seq and immunohistochemistry. Molecular docking analysis demonstrated that components of HD-SB bind with high affinity to these signature targets. In vitro experiments showed that HD-SB effectively inhibited bladder cancer cell viability, colony formation, and migration. CONCLUSION: This is the first study to explore the potential of HD-SB in enhancing the prognosis and treatment outcomes of bladder cancer through network pharmacology, bioinformatics, and experimental approaches. While the focus is primarily on tumor microenvironment-related factors, the findings provide valuable insights into the molecular mechanisms of HD-SB and identify potential novel targets for bladder cancer therapy.",Journal Article,Liu Y; Duan L; Zhu M; Zhou Z; Zhao P; Zhan Y; Zhang X; Zhu Z,,not_signature_definition,not_signature_definition
41582171,10.1186/s40246-026-00918-x,2026,Human genomics,Exploration of neutrophil-associated genes in the prognosis of bladder urothelial carcinoma based on a machine learning and multi-omics data integration framework.,"BACKGROUND: Bladder urothelial carcinoma (BLCA) is a prevalent malignancy. The poor performance of existing therapeutic approaches in the advanced stages of BLCA underscores the critical need for more sensitive and precise biomarkers to improve patient survival and prognosis. METHODS: This study utilized single-cell RNA sequencing (scRNA-seq) data from BLCA and control groups, employing the high-dimensional Weighted Gene Co-expression Network Analysis (hdWGCNA) algorithm to identify neutrophil-associated genes. These genes were intersected with differentially expressed genes (DEGs) from RNA-seq data, followed by univariate Cox regression analysis. Subsequently, BLCA subtypes were identified using a framework combining autoencoder (DAE) and joint deep semi-nonnegative matrix factorization algorithms. Various machine learning ensemble algorithms were then used to screen prognostic genes and construct a BLCA risk model. RESULTS: We identified several reliable BLCA subtypes with significant differences in enriched pathways and immune landscapes. Based on the risk model, the high- and low-risk groups showed significant differences in the expression patterns and BLCA-related associations of prognostic genes, as well as in immune cell correlations and drug sensitivity. Furthermore, the prognostic genes in the constructed risk model also demonstrated significant value in pan-cancer analysis. CONCLUSION: This study reveals the critical role of neutrophils in the occurrence and progression of BLCA through multi-omics data and bioinformatics analyses, and constructs a risk model with potential clinical applications. Our research provides new insights for precise stratification and personalized treatment of BLCA, promising to improve the clinical prognosis. The source code for the proposed framework is available at https://gitee.com/guancheng-xiao/blca/tree/master/ .",Journal Article,Ran M; Chen X; Xiao G; Huang R; Xia W; Zeng Q; Xu G; Jiang B,,not_signature_definition; single_gene_likely,not_signature_definition; single_gene_likely
41507856,10.1186/s12894-026-02046-z,2026,BMC urology,"MXRA8, a key palmitoylation-related gene, promotes bladder cancer progression via remodeling tumor microenvironment and predicts poor prognosis.","OBJECTIVE: The objective of this study was to comprehensively characterize the expression profiles and prognostic significance of palmitoylation-related genes (PRGs) in bladder cancer (BLCA). METHODS: Transcriptomic, clinical, and somatic mutation data of BLCA patients were obtained from The Cancer Genome Atlas (TCGA) and the GEO dataset (GSE13507), and batch effects were corrected using the ComBat method. Consensus clustering was performed to identify PRG-related molecular subtypes. Prognostic differentially expressed genes (DEGs) were further used for gene subtyping, and a PRG-based prognostic risk model was constructed by applying the least absolute shrinkage and selection operator (LASSO) and multivariate Cox regression. CIBERSORT assessed immune infiltration, while scRNA-seq data from Tumor Immune Single-cell Hub (TISCH) analyzed core gene expression in cell clusters. The biological function of the core gene was validated by Reverse Transcription Quantitative Polymerase Chain Reaction (RT-qPCR), Western blotting, wound-healing, colony-formation, and EdU assays. RESULTS: Two distinct PRG-related molecular subtypes and two gene subtypes were identified. The nine core genes (including MXRA8) showed robust predictive performance (AUC > 0.7 for 1-, 3-, and 5-year overall survival) and was incorporated into a nomogram along with clinical parameters. MXRA8 was highly expressed in BLCA tissues at both transcript and protein levels and predominantly expressed in fibroblast and myofibroblast clusters. Functionally, silencing MXRA8 significantly suppressed BLCA cell proliferation, migration, and invasion. CONCLUSIONS: The PRG-based risk score serves as a robust and clinically applicable tool for prognostic evaluation and predicting chemotherapy response. Furthermore, MXRA8 may serve as a potential molecular hub for developing precision medicine–oriented therapeutic strategies in BLCA.",Journal Article,Wang H; Xiong Y; He T; He M; Deng J; Song D; Wang Z,,not_signature_definition; single_gene_likely,not_signature_definition; single_gene_likely
40994220,10.1002/mc.70042,2025,Molecular carcinogenesis,RNA m5C Modifications in the Development and Prognosis of Muscle-Invasive Bladder Cancer.,"The m5C RNA modifications have been implicated in the pathogenesis of urothelial carcinoma and hold potential as prognostic biomarkers for muscle-invasive bladder cancer (MIBC) patients. In this study, we developed an MIBC-risk model by integrating m5C modification-related genes and differentially expressed genes using Nanopore sequencing and a machine learning approach. Compared to our previous research, we observed that m5C modifications are more functional, with the most enriched regions being the 3'UTR and exons. Our analysis revealed differential m5C methylation sites in several well-characterized cancer-related genes, including BMI1, PTEN, MALAT1, FADD, STAT5A, BIRC6, FOXO3, CCNG1, PAK2, UBE2L3, SMARCB1, and TUG1. Functional enrichment analysis demonstrated significant involvement of these genes in key oncogenic pathways, particularly DNA damage response, double-strand break repair, p53 signaling, MAPK cascade, NF-κB signaling, and cell proliferation/migration pathways. Unlike models based on single factors, the combination of m5C modification-related genes and differentially expressed genes resulted in a more effective classification model. This approach yielded an optimized 11-gene prognostic signature comprising GGA1, NUMBL, ECHDC2, NLRC5, EIF2D, GJA1, XPC, DAZAP2, C6orf120, WDR45, and CES1, which demonstrated superior predictive performance in TCGA MIBC patients. These findings establish m5C RNA modification patterns as promising molecular signatures for MIBC prognosis and potential therapeutic targets.© 2025 Wiley Periodicals LLC.",Journal Article,Zhang L; Zhou L; Xu W; Wu P; Chen W; Li H; Sun G; Xu S; Tang X; Liu L,,not_signature_definition,not_signature_definition
40918470,10.32604/or.2025.064331,2025,Oncology research,Integrating Spatial Multi-Omics and Machine Learning to Unravel the Role of PANoptosis in Bladder Cancer Prognosis and Immunotherapy Response.,"Background: Studies have reported the special value of PANoptosis in cancer, but there is no study on the prognostic and therapeutic effects of PANoptosis in bladder cancer (BLCA). This study aimed to explore the role of PANoptosis in BLCA heterogeneity and its impact on clinical outcomes and immunotherapy response while establishing a robust prognostic model based on PANoptosis-related features. Methods: Gene expression profiles and clinical data were collected from public databases. Spatial heterogeneity of cell death pathways in BLCA was evaluated. Consensus clustering was performed based on identified PANoptosis genes. Cell death pathway scores, molecular, and pathway activation differences between different groups were compared. Protein-protein interaction (PPI) network construction was constructed, and immune-related gene sets, tumor immune dysfunction and exclusion (TIDE) scores, and SubMap analysis were used to evaluate immunomodulator expression and immunotherapy efficacy. Ten machine learning algorithms were utilized to develop the most accurate predictive risk model, and a nomogram was created for clinical application. Results: BLCA demonstrated a spatially heterogeneous distribution of pyroptosis, apoptosis, and necroptosis. Notably, T effector cells significantly colocalized with total apoptosis. Two PANoptosis modes were identified: high PANoptosis (high. PANO) and low PANoptosis (low. PANO). High. PANO was associated with worse clinical outcomes and advanced tumor stage, and increased activation of immune-related and cell death pathways. It also showed increased infiltration of immune cells, elevated expression of immunomodulatory factors, and enhanced responsiveness to the immunotherapy. The PANoptosis-related machine learning prognostic signature (PMLS) exhibited strong predictive power for outcomes in BLCA. CSPG4 was identified as a key gene underlying prognostic and therapeutic differences. Conclusion: PANoptosis shapes distinct prognostic and immunological phenotypes in BLCA. PMLS offers a reliable prognostic tool. CSPG4 may represent a potential therapeutic target in PANoptosis-driven BLCA.© 2025 The Authors.",Journal Article,Peng L; Cai T; Xu P; Chen C; Xiang Q; Zhu Y; Ye D; Shen Y,,not_signature_definition,not_signature_definition
40574864,10.3389/fimmu.2025.1604394,2025,Frontiers in immunology,Comprehensive analysis of single-cell and bulk RNA sequencing data reveals an EGFR signature for predicting immunotherapy response and prognosis in pan-cancer.,"Immune checkpoint inhibitors (ICIs) have changed the paradigm of cancer treatment, but their effectiveness in some patients with epidermal growth factor receptor (EGFR) mutations is unsatisfactory. Therefore, it is necessary to develop a new biomarker for combined immunotherapy strategies to maximize the clinical benefits.We collected and investigated 34 pan-cancer scRNA-Seq cohorts from The Cancer Genome Atlas (TCGA) and 10 bulk RNA-Seq cohorts utilizing multiple machine learning (ML) algorithms to identify and verify a representative EGFR-related gene signature (EGFR.Sig) as a predictive biomarker for immunotherapy response. Core genes were identified as Hub-EGFR.Sig to predict the prognosis of cancers and to understand the crosstalk between EGFR and the tumor immune microenvironment (TIME).EGFR.Sig can accurately predict the ICI response with an AUC of 0.77, demonstrating superior predictive performance compared to previously established signatures. Twelve core genes in EGFR.Sig were identified as Hub-EGFR.Sig, of which 4 immune resistance genes were previously verified in different CRISPR cohorts. Notably, the prognosis most related to Hub-EGFR.Sig was bladder cancer, which can be divided into two clusters with different responses to immunotherapy based on Hub-EGFR.Sig.We developed a promising pan-cancer signature based on EGFR-related genes to serve as a biomarker for immunotherapy response and survival outcome prediction. Furthermore, core genes were identified for future targeting, which will pave the way for improving the effect of immunotherapy in the context of combination immunotherapies.Copyright © 2025 Ye, Chen, Chen, Liu, Kong, Lin, Zhu, Sun and Xu.",Journal Article,Ye C; Chen X; Chen Z; Liu S; Kong R; Lin W; Zhu M; Sun X; Xu Z,,pan_cancer_non_bladder,pan_cancer_non_bladder
39269596,10.1007/s12094-024-03719-7,2025,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,"Liquid-liquid phase separation-related genes associated with prognosis, tumor microenvironment characteristics, and tumor cell features in bladder cancer.","This study aimed to explore the Liquid-liquid phase separation (LLPS)-related genes associated with the prognosis of bladder cancer (BCa) and assess the potential application of LLPS-related prognostic signature for predicting prognosis in BCa patients.Clinical information and transcriptome data of BCa patients were extracted from the Cancer Genome Atlas-BLCA (TCGA-BLCA) database and the GSE13507 database. Furthermore, 108 BCa patients who received treatment at our institution were subjected to a retrospective analysis. The least absolute shrinkage and selection operator (LASSO) analysis was performed to develop an LLPS-related prognostic signature for BCa. The CCK8, wound healing and Transwell assays were performed.Based on 62 differentially expressed LLPS-related genes (DELRGs), three DELRGs were screened by LASSO analysis including kallikrein-related peptidase 5 (KLK5), monoacylglycerol O-acyltransferase 2 (MOGAT2) and S100 calcium-binding protein A7 (S100A7). Based on three DELRGs, a novel LLPS-related prognostic signature was constructed for individualized prognosis assessment. Kaplan-Meier curve analyses showed that LLPS-related prognostic signature was significantly correlated with overall survival (OS) of BCa. ROC analyses demonstrated the LLPS-related prognostic signature performed well in predicting the prognosis of BCa patients in the training group (the area under the curve (AUC) = 0.733), which was externally verified in the validation cohort 1 (AUC = 0.794) and validation cohort 2 (AUC = 0.766). Further experiments demonstrated that inhibiting KLK5 could affect the proliferation, migration, and invasion of BCa cells.In this study, a novel LLPS-related prognostic signature was successfully developed and validated, demonstrating strong performance in predicting the prognosis of BCa patients.© 2024. The Author(s), under exclusive licence to Federación de Sociedades Españolas de Oncología (FESEO).",Journal Article,Wu XH; Huang XY; You Q; Zhu JM; Qiu QR; Lin YZ; Xu N; Wei Y; Xue XY; Chen YH,,not_signature_definition; single_gene_likely,not_signature_definition; single_gene_likely
40097551,10.1038/s41598-025-93674-2,2025,Scientific reports,Comprehensive analysis of RNA methylation-related genes to identify molecular cluster for predicting prognosis and immune profiles in bladder cancer.,"m6A, m5C and m7G are common types of RNA methylation modifications that are widely involved in key mechanisms regulating malignancy. However, the role of RNA methylation-related genes in the immune microenvironment of bladder cancer (BLCA) remains elusive. In this study, we established RNA methylation molecular subtypes by analyzing the TCGA and GEO datasets. Risk model and nomogram were constructed by LASSO and multivariate Cox regression analysis and validated by external datasets. Genetic variations, functional enrichment analysis and immune cell infiltration were analyzed. The expression levels of hub genes were detected by real-time polymerase chain reaction (qRT-PCR) and immunohistochemistry (IHC). The effect of FN1 on cellular function was determined using experimental assays. Finally, we identified a 7-gene signature associated with BLCA prognosis. GSE19423 validated the predictive value of the risk model. The IMvigor210 data showed the model had promising predictive efficacy for BLCA immunotherapy. Significant differences in biological function, immune cell infiltration and drug sensitivity were observed between high- and low-risk groups. Furthermore, FN1 was upregulated in BLCA, as determined by qRT-PCR and IHC. Depletion of FN1 using siRNA impaired cell motility in T24 and 5637 cells. In conclusion, RNA methylation-related risk model can predict the prognosis, immune landscape and response to immunotherapy in BLCA. Among the 7-gene signature, FN1 is a pivotal gene that promotes the migration of bladder cancer cells.© 2025. The Author(s).",Journal Article,Li B; Gan J; Li T; Chen J; Kuang Y; Li J; Yin H,,non_mrna; not_signature_definition,non_mrna; not_signature_definition
40018511,10.1177/11769351251323569,2025,Cancer informatics,Single-cell Analysis Highlights Anti-apoptotic Subpopulation Promoting Malignant Progression and Predicting Prognosis in Bladder Cancer.,"Bladder cancer (BLCA) has a high degree of intratumor heterogeneity, which significantly affects patient prognosis. We performed single-cell analysis of BLCA tumors and organoids to elucidate the underlying mechanisms.Single-cell RNA sequencing (scRNA-seq) data of BLCA samples were analyzed using Seurat, harmony, and infercnv for quality control, batch correction, and identification of malignant epithelial cells. Gene set enrichment analysis (GSEA), cell trajectory analysis, cell cycle analysis, and single-cell regulatory network inference and clustering (SCENIC) analysis explored the functional heterogeneity between malignant epithelial cell subpopulations. Cellchat was used to infer intercellular communication patterns. Co-expression analysis identified co-expression modules of the anti-apoptotic subpopulation. A prognostic model was constructed using hub genes and Cox regression, and nomogram analysis was performed. The tumor immune dysfunction and exclusion (TIDE) algorithm was applied to predict immunotherapy response.Organoids recapitulated the cellular and mutational landscape of the parent tumor. BLCA progression was characterized by mesenchymal features, epithelial-mesenchymal transition (EMT), immune microenvironment remodeling, and metabolic reprograming. An anti-apoptotic tumor subpopulation was identified, characterized by aberrant gene expression, transcriptional instability, and a high mutational burden. Key regulators of this subpopulation included CEBPB, EGR1, ELF3, and EZH2. This subpopulation interacted with immune and stromal cells through signaling pathways such as FGF, CXCL, and VEGF to promote tumor progression. Myofibroblast cancer-associated fibroblasts (mCAFs) and inflammatory cancer-associated fibroblasts (iCAFs) differentially contributed to metastasis. Protein-protein interaction (PPI) network analysis identified functional modules related to apoptosis, proliferation, and metabolism in the anti-apoptotic subpopulation. A 5-gene risk model was developed to predict patient prognosis, which was significantly associated with immune checkpoint gene expression, suggesting potential implications for immunotherapy.We identified a distinct anti-apoptotic tumor subpopulation as a key driver of tumor progression with prognostic significance, laying the foundation for the development of new therapeutic strategies to improve patient outcomes.© The Author(s) 2025.",Journal Article,Chen L; Hao Y; Zhai T; Yang F; Chen S; Lin X; Li J,,not_signature_definition,not_signature_definition
